"","SQH","SXRQ","firmname"
"1","CN201220107320.3","20160511","陕西兴化化学股份有限公司"
"2","CN201120360397.7","20130320","威海广泰空港设备股份有限公司"
"3","CN201120360399.6","20120926","威海广泰空港设备股份有限公司"
"4","CN201220649957.5","20151209","威海广泰空港设备股份有限公司"
"5","CN201320873605.2","20160120","威海广泰空港设备股份有限公司"
"6","CN201220649950.3","20151216","威海广泰空港设备股份有限公司"
"7","CN201320827023.0","20160302","威海广泰空港设备股份有限公司"
"8","CN201320873612.2","20160316","威海广泰空港设备股份有限公司"
"9","CN201220685146.0","20150121","威海广泰空港设备股份有限公司"
"10","CN201320278856.6","20160525","威海广泰空港设备股份有限公司"
"11","CN201520312125.8","20161012","威海广泰空港设备股份有限公司"
"12","CN201120245631.1","20130313","三变科技股份有限公司"
"13","CN201030257663.4","20160928","三维通信股份有限公司"
"14","CN201220548876.6","20141112","三维通信股份有限公司"
"15","CN201020685347.1","20130710","三维通信股份有限公司"
"16","CN201320352456.5","20160106","三维通信股份有限公司"
"17","CN201420369394.3","20160420","三维通信股份有限公司"
"18","CN201220222888.X","20160330","三维通信股份有限公司"
"19","CN201020685349.0","20160210","三维通信股份有限公司"
"20","CN201020599184.5","20151223","三维通信股份有限公司"
"21","CN201020599193.4","20151223","三维通信股份有限公司"
"22","CN201320448381.0","20160810","三维通信股份有限公司"
"23","CN201320745891.4","20160817","三维通信股份有限公司"
"24","CN201320749412.6","20160817","三维通信股份有限公司"
