url,firmname
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市芭田生态工程股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市芭田生态工程股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(江西特种电机股份有限公司)&type=14&s=0&law=2&v=l&page=,江西特种电机股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广州御银科技股份有限公司)&type=14&s=0&law=2&v=l&page=,广州御银科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(中航光电科技股份有限公司)&type=14&s=0&law=2&v=l&page=,中航光电科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(珠海万力达电气股份有限公司)&type=14&s=0&law=2&v=l&page=,珠海万力达电气股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(天水华天科技股份有限公司)&type=14&s=0&law=2&v=l&page=,天水华天科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(浙江新嘉联电子股份有限公司)&type=14&s=0&law=2&v=l&page=,浙江新嘉联电子股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(利达光电股份有限公司)&type=14&s=0&law=2&v=l&page=,利达光电股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳劲嘉彩印集团股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳劲嘉彩印集团股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东济宁如意毛纺织股份有限公司)&type=14&s=0&law=2&v=l&page=,山东济宁如意毛纺织股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(武汉凡谷电子技术股份有限公司)&type=14&s=0&law=2&v=l&page=,武汉凡谷电子技术股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(浙江方正电机股份有限公司)&type=14&s=0&law=2&v=l&page=,浙江方正电机股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市证通电子股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市证通电子股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(江苏九鼎新材料股份有限公司)&type=14&s=0&law=2&v=l&page=,江苏九鼎新材料股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(新疆金风科技股份有限公司)&type=14&s=0&law=2&v=l&page=,新疆金风科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(浙江海亮股份有限公司)&type=14&s=0&law=2&v=l&page=,浙江海亮股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(大连华锐重工集团股份有限公司)&type=14&s=0&law=2&v=l&page=,大连华锐重工集团股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广州达意隆包装机械股份有限公司)&type=14&s=0&law=2&v=l&page=,广州达意隆包装机械股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市特尔佳科技股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市特尔佳科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(三全食品股份有限公司)&type=14&s=0&law=2&v=l&page=,三全食品股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(合力泰科技股份有限公司)&type=14&s=0&law=2&v=l&page=,合力泰科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市拓日新能源科技股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市拓日新能源科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(福建福晶科技股份有限公司)&type=14&s=0&law=2&v=l&page=,福建福晶科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(江苏鱼跃医疗设备股份有限公司)&type=14&s=0&law=2&v=l&page=,江苏鱼跃医疗设备股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(安徽江南化工股份有限公司)&type=14&s=0&law=2&v=l&page=,安徽江南化工股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(奥维通信股份有限公司)&type=14&s=0&law=2&v=l&page=,奥维通信股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(启明信息技术股份有限公司)&type=14&s=0&law=2&v=l&page=,启明信息技术股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广东塔牌集团股份有限公司)&type=14&s=0&law=2&v=l&page=,广东塔牌集团股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东民和牧业股份有限公司)&type=14&s=0&law=2&v=l&page=,山东民和牧业股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(厦门安妮股份有限公司)&type=14&s=0&law=2&v=l&page=,厦门安妮股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东恒邦冶炼股份有限公司)&type=14&s=0&law=2&v=l&page=,山东恒邦冶炼股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(歌尔声学股份有限公司)&type=14&s=0&law=2&v=l&page=,歌尔声学股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(九阳股份有限公司)&type=14&s=0&law=2&v=l&page=,九阳股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市通产丽星股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市通产丽星股份有限公司
