"","flight","plane","city1","city2","city3","city4","city5","city1_2"
"177","BK3035","737","天津","南通","三亚",NA,NA,"天津南通"
"178","BK3036","737","三亚","南通","天津",NA,NA,"三亚南通"
"189","CA1481","737","天津","运城","昆明",NA,NA,"天津运城"
"190","CA1482","737","昆明","运城","天津",NA,NA,"昆明运城"
"277","CA1211/2","738","北京首都","呼和浩特","北京首都",NA,NA,"北京首都呼和浩特"
"302","CA1265","738","天津","呼和浩特","乌鲁木齐",NA,NA,"天津呼和浩特"
"303","CA1266","738","乌鲁木齐","呼和浩特","天津",NA,NA,"乌鲁木齐呼和浩特"
"334","CA1633/4","738","北京首都","呼和浩特","北京首都",NA,NA,"北京首都呼和浩特"
"376","HU7295","738","太原","合肥","厦门",NA,NA,"太原合肥"
"377","HU7296","738","厦门","合肥","太原",NA,NA,"厦门合肥"
"378","HU7333","738","太原","长沙","福州",NA,NA,"太原长沙"
"379","HU7334","738","福州","长沙","太原",NA,NA,"福州长沙"
"380","HU7355","738","太原","长治","厦门",NA,NA,"太原长治"
"381","HU7356","738","厦门","长治","太原",NA,NA,"厦门长治"
"391","HU7657/8","738","北京首都","呼和浩特","北京首都",NA,NA,"北京首都呼和浩特"
"400","KN2287","738","北京南苑","乌兰浩特","海拉尔",NA,NA,"北京南苑乌兰浩特"
"401","KN2287","738","北京南苑","乌兰浩特","海拉尔",NA,NA,"北京南苑乌兰浩特"
"402","KN2288","738","海拉尔","乌兰浩特","北京南苑",NA,NA,"海拉尔乌兰浩特"
"403","KN2288","738","海拉尔","乌兰浩特","北京南苑",NA,NA,"海拉尔乌兰浩特"
"450","MF8139","738","天津","厦门","海口",NA,NA,"天津厦门"
"451","MF8140","738","海口","厦门","天津",NA,NA,"海口厦门"
"452","MF8331","738","天津","福州","南宁",NA,NA,"天津福州"
"453","MF8332","738","南宁","福州","天津",NA,NA,"南宁福州"
"458","MF8457","738","天津","杭州","贵阳",NA,NA,"天津杭州"
"459","MF8458","738","贵阳","杭州","天津",NA,NA,"贵阳杭州"
"460","MF8458","738","贵阳","杭州","天津",NA,NA,"贵阳杭州"
"461","MF8458","738","贵阳","杭州","天津",NA,NA,"贵阳杭州"
"462","MF8459","738","天津","西安","重庆",NA,NA,"天津西安"
"463","MF8460","738","重庆","西安","天津",NA,NA,"重庆西安"
"476","MU2437","738","太原","武汉","厦门",NA,NA,"太原武汉"
"477","MU2438","738","厦门","武汉","太原",NA,NA,"厦门武汉"
"485","MU5399","738","太原","武汉","福州",NA,NA,"太原武汉"
"486","MU5400","738","福州","武汉","太原",NA,NA,"福州武汉"
"487","MU5681","738","太原","长沙","海口",NA,NA,"太原长沙"
"488","MU5682","738","海口","长沙","太原",NA,NA,"海口长沙"
"493","NS3225","738","石家庄","南京","厦门",NA,NA,"石家庄南京"
"494","NS3226","738","厦门","南京","石家庄",NA,NA,"厦门南京"
"495","NS3241","738","石家庄","重庆","南宁",NA,NA,"石家庄重庆"
"496","NS3242","738","南宁","重庆","石家庄",NA,NA,"南宁重庆"
"497","NS3243","738","石家庄","南京","福州",NA,NA,"石家庄南京"
"498","NS3244","738","福州","南京","石家庄",NA,NA,"福州南京"
"499","NS3245","738","石家庄","呼和浩特","满洲里",NA,NA,"石家庄呼和浩特"
"500","NS3245","738","石家庄","呼和浩特","满洲里",NA,NA,"石家庄呼和浩特"
"501","NS3246","738","满洲里","呼和浩特","石家庄",NA,NA,"满洲里呼和浩特"
