No,Treated,classify,持股集中度2013.6,持股集中度2013.12,持股集中度2014.6,持股集中度2014.12,持股集中度2015.6,持股集中度2015.12,持股集中度2016.6,持股集中度2016.12,持股集中度2017.6,持股集中度2017.12
205818926558,0,1,63.28%,58.60%,63.78%,32.73%,0.00%,45.12%,32.93%,52.56%,0.00%,54.83%
206306082578,0,1,0.00%,0.00%,7.51%,64.31%,99.87%,51.35%,80.91%,50.57%,49.20%,38.87%
207000015555,0,1,95.28%,99.69%,57.95%,22.75%,0.00%,31.50%,70.75%,0.00%,37.91%,27.10%
205819001771,0,1,97.81%,97.81%,99.29%,98.74%,0.00%,0.00%,34.49%,26.82%,29.02%,26.68%
205818980728,0,1,82.05%,82.89%,0.00%,99.64%,0.00%,27.49%,39.08%,36.66%,24.43%,54.47%
205818996628,0,1,99.52%,99.51%,0.00%,99.74%,12.36%,37.54%,5.21%,0.00%,17.53%,99.86%
205819031080,0,1,59.63%,57.07%,37.30%,99.85%,99.89%,39.95%,99.98%,91.39%,0.00%,0.00%
205816000359,0,1,48.02%,99.96%,33.49%,99.97%,20.82%,50.13%,99.90%,54.74%,0.00%,0.00%
205818970639,0,1,0.00%,0.00%,92.23%,36.93%,99.76%,66.35%,49.63%,86.31%,99.01%,98.19%
205819005591,0,1,99.88%,99.91%,0.00%,37.52%,99.98%,19.22%,95.04%,61.47%,76.54%,0.00%
205819033523,0,1,54.84%,66.65%,65.37%,97.00%,92.40%,90.29%,0.00%,0.00%,99.97%,68.43%
207000010076,0,1,61.55%,55.64%,0.00%,79.32%,99.98%,99.94%,99.99%,0.00%,99.98%,99.97%
205819520888,0,1,0.00%,0.00%,98.90%,99.92%,99.99%,99.94%,99.13%,99.88%,99.83%,99.85%
205819008481,0,0,19.16%,48.23%,28.28%,51.89%,10.10%,0.00%,37.16%,35.28%,66.13%,41.57%
205819010365,0,0,42.70%,51.85%,52.89%,48.77%,98.89%,99.99%,15.33%,11.25%,77.49%,0.00%
205818492126,0,0,72.76%,74.95%,81.84%,0.00%,74.23%,80.96%,47.42%,29.82%,36.74%,42.48%
205819032152,0,0,58.76%,52.84%,47.51%,0.00%,62.13%,71.60%,68.07%,84.42%,80.56%,87.27%
205818844965,0,0,46.60%,95.93%,71.80%,74.52%,0.00%,70.95%,89.37%,91.64%,67.22%,53.73%
205819000552,0,0,99.95%,70.99%,48.68%,67.35%,0.00%,99.96%,59.24%,58.80%,55.85%,86.72%
205818976069,0,0,58.69%,53.91%,55.69%,52.81%,68.24%,99.96%,0.00%,99.92%,86.81%,84.73%
205818968479,0,0,79.01%,84.43%,82.57%,0.00%,99.84%,99.99%,95.62%,49.16%,46.33%,56.63%
205818937968,0,0,83.47%,84.08%,80.06%,88.97%,0.00%,99.90%,99.96%,98.17%,61.35%,58.22%
205818977358,0,0,96.22%,93.87%,80.45%,0.00%,52.52%,99.96%,99.07%,83.96%,84.84%,90.80%
205818936079,0,0,99.89%,99.91%,99.60%,84.72%,0.00%,98.98%,99.89%,98.79%,99.22%,99.89%
205818038122,0,1,3.91%,6.00%,5.79%,9.73%,5.90%,3.55%,2.59%,2.22%,0.00%,8.87%
208500000010,0,1,0.00%,26.70%,25.01%,35.28%,33.04%,4.39%,13.96%,15.31%,20.56%,13.53%
205819027032,0,1,23.94%,23.12%,39.47%,0.00%,9.68%,18.59%,26.99%,44.68%,15.31%,19.33%
205818999319,0,1,18.73%,84.11%,0.00%,54.40%,23.93%,7.65%,22.14%,28.67%,26.49%,10.10%
207000010676,0,1,49.31%,36.72%,68.40%,46.27%,39.98%,14.04%,20.17%,35.68%,0.00%,1.99%
205819027687,0,1,49.85%,64.05%,64.49%,43.87%,39.32%,21.07%,22.52%,18.70%,31.03%,0.00%
205818981009,0,1,40.15%,42.53%,39.44%,20.96%,38.67%,44.68%,28.64%,45.21%,0.00%,8.14%
205819021807,0,1,28.86%,29.33%,0.00%,20.43%,6.54%,1.32%,10.07%,78.74%,76.22%,53.46%
205818995518,0,1,50.60%,59.75%,79.01%,58.94%,22.92%,24.38%,38.99%,26.92%,28.05%,0.00%
205819003678,0,1,0.00%,99.68%,45.15%,63.61%,64.48%,19.90%,48.02%,44.90%,15.90%,33.00%
205818973289,0,1,0.00%,61.91%,36.39%,21.78%,8.57%,30.06%,49.87%,45.10%,44.29%,42.46%
205819034088,0,1,84.28%,34.89%,31.37%,48.90%,45.87%,0.00%,21.70%,34.26%,0.20%,99.57%
205819011127,0,1,35.47%,60.61%,35.78%,24.68%,45.32%,36.92%,59.24%,43.97%,71.44%,0.00%
205818125563,0,1,9.28%,7.74%,13.58%,12.33%,97.41%,99.38%,99.39%,37.09%,91.29%,0.00%
205819035325,0,1,0.00%,99.79%,71.97%,31.00%,89.28%,21.96%,44.16%,31.90%,49.60%,37.41%
205819890822,0,1,39.99%,35.79%,33.12%,40.19%,35.57%,74.22%,97.36%,32.12%,31.69%,0.00%
205819920603,0,1,0.00%,81.34%,81.89%,53.98%,36.44%,51.14%,67.35%,43.52%,36.73%,41.54%
205819022737,0,1,12.32%,88.46%,99.56%,17.95%,2.42%,44.84%,32.98%,71.97%,94.60%,0.00%
205818987779,0,1,59.99%,61.08%,57.99%,67.11%,0.62%,77.85%,42.48%,46.87%,51.17%,0.00%
205818975538,0,1,0.00%,43.94%,31.60%,31.34%,58.19%,51.57%,85.03%,99.18%,98.64%,87.34%
205818998956,0,1,0.00%,38.97%,69.48%,84.03%,15.50%,75.53%,37.51%,35.93%,74.31%,35.24%
205818463013,0,1,99.93%,0.00%,99.45%,50.96%,26.50%,94.84%,80.12%,33.65%,23.69%,29.21%
205819011361,0,1,70.87%,70.70%,74.10%,79.27%,0.00%,43.41%,41.80%,55.98%,48.71%,47.27%
205819014339,0,1,4.20%,0.00%,96.83%,99.73%,99.53%,11.99%,2.53%,98.13%,99.85%,99.91%
207000011015,0,1,0.00%,55.77%,44.45%,53.47%,98.92%,58.79%,83.56%,88.30%,93.45%,59.24%
205819031886,0,1,0.00%,72.56%,91.06%,74.12%,70.73%,65.54%,51.01%,58.29%,35.96%,44.52%
205819009385,0,1,99.78%,99.45%,82.80%,67.27%,83.36%,63.65%,46.75%,78.03%,42.02%,0.00%
205818198614,0,1,99.82%,97.39%,26.77%,84.24%,91.77%,98.74%,64.39%,47.65%,0.00%,99.13%
205818335162,0,1,54.17%,99.56%,82.26%,69.15%,99.36%,91.91%,77.50%,99.72%,0.00%,8.15%
205818957858,0,1,99.97%,99.97%,99.79%,55.71%,41.50%,72.18%,47.41%,88.92%,100.00%,0.00%
205818967908,0,1,87.80%,87.86%,0.00%,92.49%,64.29%,93.72%,50.70%,99.83%,99.95%,72.72%
205819004232,0,1,98.22%,98.51%,99.53%,99.59%,99.98%,100.00%,92.68%,26.16%,76.60%,0.00%
205818094447,0,1,99.94%,99.92%,99.89%,99.98%,63.29%,52.29%,70.98%,99.69%,0.00%,99.61%
205818954389,0,1,87.86%,89.27%,94.41%,92.83%,95.15%,0.00%,99.92%,99.80%,69.74%,63.82%
205818000587,0,1,99.89%,99.76%,57.35%,99.59%,99.90%,90.00%,99.89%,99.96%,0.00%,99.98%
205818389080,0,0,68.15%,75.89%,50.60%,46.47%,25.32%,21.40%,24.66%,26.09%,0.00%,19.94%
208518000268,0,0,33.51%,77.63%,40.97%,50.77%,0.00%,37.94%,15.15%,49.86%,9.33%,43.07%
205818067477,0,0,33.40%,27.82%,33.05%,55.25%,44.59%,35.59%,47.31%,43.78%,46.29%,0.00%
205816000368,0,0,58.51%,53.40%,0.00%,49.63%,49.88%,45.89%,42.78%,65.31%,37.76%,58.14%
205819013465,0,0,54.73%,0.00%,93.54%,94.94%,28.52%,99.48%,40.69%,27.31%,30.92%,41.33%
205819011419,0,0,99.89%,62.63%,99.78%,0.21%,34.59%,0.00%,68.99%,99.91%,46.13%,31.49%
205819004340,0,0,58.96%,55.08%,55.28%,0.00%,48.41%,54.23%,62.32%,53.99%,66.47%,99.72%
205818003366,0,0,95.02%,95.49%,94.84%,0.00%,98.26%,99.95%,30.00%,32.62%,61.65%,64.27%
205819017161,0,0,99.73%,99.67%,84.06%,92.06%,99.65%,99.89%,99.99%,100.00%,4.94%,0.00%
205818998528,0,0,99.78%,0.00%,96.25%,99.37%,99.93%,85.52%,99.98%,99.81%,99.62%,99.86%
205818998279,0,1,9.23%,8.66%,3.78%,0.98%,0.00%,6.95%,6.57%,0.88%,0.50%,0.33%
205818998646,0,1,22.09%,58.54%,61.06%,55.42%,33.95%,4.57%,16.89%,19.26%,43.95%,0.00%
205819018378,0,1,32.36%,19.54%,20.37%,23.64%,21.52%,0.00%,49.08%,46.86%,26.73%,22.22%
205819017186,0,1,43.85%,26.39%,26.67%,27.50%,27.74%,0.00%,13.12%,51.09%,30.96%,28.36%
205818998290,0,1,0.00%,78.12%,44.26%,25.17%,18.16%,38.18%,49.68%,53.94%,11.67%,16.49%
205819000389,0,1,51.86%,0.00%,97.10%,10.64%,50.84%,21.95%,16.24%,42.30%,36.07%,25.86%
205819016305,0,1,62.58%,51.82%,45.62%,0.00%,53.01%,30.41%,23.43%,31.28%,32.65%,13.35%
205819028380,0,1,39.34%,40.04%,11.27%,51.67%,0.00%,51.57%,10.71%,99.99%,25.74%,52.57%
205818965578,0,1,40.28%,38.63%,37.23%,29.22%,0.00%,37.42%,57.35%,42.98%,55.25%,43.02%
205818967429,0,1,66.40%,60.15%,59.94%,41.88%,50.77%,0.00%,32.50%,43.60%,38.47%,33.86%
205819001963,0,1,60.50%,55.70%,29.95%,31.54%,0.00%,55.54%,67.69%,32.60%,26.04%,25.39%
205818902172,0,1,11.47%,14.53%,48.51%,34.74%,76.43%,100.00%,0.00%,44.53%,42.94%,68.61%
205818024066,0,1,48.25%,79.54%,99.84%,99.58%,22.66%,51.52%,57.43%,0.00%,16.84%,31.08%
205819018275,0,1,60.70%,36.41%,42.99%,33.61%,55.98%,55.55%,99.73%,55.43%,0.00%,31.85%
205818597667,0,1,23.25%,27.79%,27.40%,47.36%,56.23%,65.35%,66.26%,61.98%,78.26%,0.00%
205818978829,0,1,0.00%,47.47%,48.97%,32.37%,31.32%,63.53%,32.93%,63.72%,99.88%,98.67%
205818955259,0,1,98.70%,40.93%,47.65%,54.04%,69.44%,0.00%,33.78%,46.32%,41.69%,32.76%
205818987659,0,1,38.47%,25.28%,51.37%,44.03%,69.02%,68.14%,93.50%,91.49%,0.00%,3.92%
205818947448,0,1,93.69%,37.77%,0.00%,99.72%,62.35%,91.68%,25.47%,40.91%,24.06%,38.13%
205819004660,0,1,94.03%,97.39%,23.38%,0.00%,13.74%,37.52%,67.67%,26.63%,58.27%,49.38%
205818838645,0,1,72.47%,67.01%,59.40%,54.29%,86.98%,72.31%,71.79%,50.40%,0.00%,6.36%
205818947358,0,1,69.81%,99.85%,74.62%,68.70%,0.00%,41.25%,58.83%,50.76%,51.33%,11.96%
205819016838,0,1,65.52%,97.67%,91.70%,23.62%,39.28%,24.84%,0.00%,59.81%,58.61%,96.18%
205818967958,0,1,27.00%,61.95%,50.01%,0.00%,55.33%,39.07%,97.54%,99.80%,58.09%,50.27%
205819018608,0,1,96.47%,54.29%,61.43%,66.46%,12.24%,0.00%,78.25%,47.20%,53.51%,70.84%
205819006426,0,1,67.71%,69.82%,72.25%,64.24%,0.00%,37.52%,57.84%,60.10%,56.71%,100.00%
205819033868,0,1,0.00%,51.21%,80.69%,60.79%,41.76%,45.46%,97.78%,100.00%,100.00%,100.00%
205819017169,0,1,99.33%,99.88%,76.86%,51.27%,0.00%,56.98%,36.08%,34.03%,28.71%,99.92%
205818932839,0,1,99.28%,90.15%,99.19%,83.57%,41.41%,99.46%,99.25%,70.22%,99.02%,0.00%
205819023400,0,1,99.25%,0.00%,99.78%,99.65%,68.22%,99.92%,99.85%,99.95%,99.72%,99.99%
205819000058,0,0,1.22%,1.16%,1.12%,1.70%,1.64%,10.56%,11.01%,10.52%,8.13%,7.71%
205819011087,0,0,7.77%,11.57%,4.67%,4.49%,10.65%,5.33%,3.09%,4.52%,3.05%,4.92%
205818569323,0,0,6.19%,5.52%,6.20%,6.15%,6.32%,7.24%,7.18%,6.85%,7.29%,6.00%
205818260240,0,0,7.78%,7.66%,8.94%,3.93%,9.91%,5.32%,8.63%,8.43%,9.35%,7.24%
205818943388,0,0,15.79%,16.76%,15.95%,10.69%,11.32%,16.12%,11.32%,12.63%,13.79%,12.93%
205819023212,0,0,20.28%,18.28%,15.28%,14.38%,14.60%,19.26%,19.33%,22.03%,19.08%,20.43%
205819014813,0,0,17.75%,20.90%,25.41%,24.85%,20.31%,17.99%,15.57%,17.36%,18.38%,20.42%
205818451353,0,0,23.85%,21.83%,21.75%,28.16%,18.72%,25.06%,18.93%,16.22%,15.87%,18.40%
205818285671,0,0,21.17%,13.81%,12.59%,17.14%,24.63%,29.57%,28.39%,24.26%,19.98%,16.31%
205819011530,0,0,49.70%,36.11%,27.53%,10.57%,30.52%,18.73%,21.63%,26.86%,14.39%,16.16%
205819000328,0,0,27.48%,32.84%,35.28%,35.61%,18.66%,15.15%,14.19%,19.33%,23.56%,20.54%
205818001275,0,0,30.12%,32.98%,32.59%,20.27%,13.21%,19.02%,27.75%,23.30%,23.97%,20.47%
205819018062,0,0,22.21%,22.28%,20.70%,21.51%,29.18%,24.55%,30.35%,28.01%,27.86%,33.70%
205818139740,0,0,41.97%,45.51%,45.84%,45.04%,22.90%,14.01%,16.92%,18.39%,16.10%,29.10%
205819003433,0,0,3.82%,3.78%,51.20%,53.60%,45.15%,26.53%,27.12%,26.39%,21.92%,20.35%
205818951659,0,0,26.26%,32.56%,28.92%,20.79%,24.24%,9.71%,35.01%,31.27%,44.23%,38.65%
205818939268,0,0,38.69%,35.16%,40.66%,29.17%,33.76%,21.88%,25.74%,21.98%,25.07%,34.93%
205818952879,0,0,44.92%,48.16%,48.83%,43.20%,15.66%,26.97%,30.75%,27.94%,26.58%,26.71%
205818932818,0,0,44.57%,37.59%,37.64%,48.73%,31.90%,23.87%,27.71%,33.79%,21.36%,22.42%
205819009262,0,0,60.15%,43.46%,38.94%,33.12%,17.91%,34.68%,11.82%,22.17%,19.59%,52.83%
205818955498,0,0,27.39%,23.30%,21.26%,13.97%,32.78%,32.09%,59.15%,55.79%,52.75%,47.60%
205818053290,0,0,51.01%,49.03%,44.67%,45.84%,24.15%,23.40%,21.49%,21.36%,29.22%,28.92%
205819012148,0,0,29.24%,77.80%,68.15%,34.56%,36.82%,19.44%,16.33%,28.63%,42.28%,29.14%
205819007156,0,0,38.89%,47.59%,37.94%,39.44%,15.80%,34.46%,28.86%,36.01%,32.41%,21.06%
205819565758,0,0,28.89%,27.52%,25.05%,20.48%,20.97%,30.43%,49.09%,48.95%,63.16%,50.87%
205818251513,0,0,43.68%,44.21%,40.12%,74.22%,7.30%,43.85%,31.46%,28.01%,20.77%,15.39%
205818545761,0,0,63.59%,56.48%,55.59%,55.67%,45.31%,23.85%,21.94%,19.37%,19.63%,24.53%
205818937728,0,0,49.31%,69.04%,23.76%,29.89%,26.60%,38.27%,27.30%,38.91%,36.73%,24.17%
205818935908,0,0,48.87%,47.66%,44.53%,37.50%,31.65%,29.35%,30.70%,34.43%,37.22%,35.33%
205818002848,0,0,23.73%,42.61%,51.46%,32.93%,22.54%,48.63%,47.59%,44.13%,34.32%,35.50%
205818998320,0,0,26.67%,46.89%,35.40%,41.26%,40.94%,49.51%,41.02%,48.15%,25.15%,41.14%
205818930658,0,0,79.29%,78.55%,25.31%,29.75%,11.71%,25.10%,11.34%,38.02%,33.05%,47.59%
205818998286,0,0,82.15%,69.60%,32.50%,45.93%,9.59%,29.31%,22.99%,43.72%,32.95%,40.48%
205818973508,0,0,20.42%,34.50%,30.75%,34.46%,47.20%,63.12%,64.59%,44.83%,37.12%,34.70%
205818423877,0,0,41.08%,81.72%,68.18%,28.51%,45.13%,33.57%,26.23%,24.56%,27.48%,27.10%
205819011090,0,0,55.16%,99.42%,23.05%,35.40%,8.53%,31.69%,58.62%,49.79%,31.28%,41.88%
205818938548,0,0,37.44%,28.07%,44.24%,24.45%,34.61%,86.78%,34.02%,38.17%,34.99%,15.21%
205818940918,0,0,24.18%,36.16%,38.06%,60.83%,25.40%,41.56%,23.32%,64.41%,43.49%,60.32%
205818256205,0,0,34.26%,34.54%,38.49%,27.09%,38.77%,38.00%,35.60%,35.21%,55.73%,68.42%
205819006742,0,0,45.19%,43.78%,40.95%,30.34%,33.85%,57.82%,44.13%,37.52%,30.15%,36.54%
205818998790,0,0,50.55%,48.82%,48.66%,56.77%,48.82%,49.52%,41.24%,22.46%,28.96%,27.36%
205819015031,0,0,51.04%,49.08%,46.09%,49.62%,68.27%,30.78%,26.23%,33.86%,42.92%,36.87%
205819012960,0,0,55.80%,49.53%,85.07%,79.28%,22.81%,52.85%,34.79%,28.95%,31.16%,16.03%
205816000329,0,0,31.12%,33.18%,24.28%,9.91%,18.67%,42.27%,59.31%,73.96%,76.63%,76.52%
205819004272,0,0,76.01%,23.62%,41.09%,38.84%,27.17%,91.75%,26.98%,24.56%,52.48%,23.52%
205819006691,0,0,92.70%,94.32%,93.26%,43.76%,9.83%,3.67%,27.67%,29.52%,27.61%,42.64%
205818309729,0,0,52.45%,62.14%,50.60%,53.08%,76.10%,15.37%,25.94%,34.07%,39.69%,43.80%
205819013235,0,0,28.14%,35.07%,33.17%,36.04%,61.58%,60.09%,52.56%,47.24%,49.21%,52.79%
205819007122,0,0,44.11%,40.65%,51.38%,40.02%,28.69%,34.56%,35.65%,58.06%,63.88%,45.39%
205818968468,0,0,41.95%,39.64%,48.64%,31.82%,53.49%,59.17%,58.72%,60.93%,23.14%,30.56%
205818998779,0,0,53.67%,57.27%,48.25%,48.50%,49.23%,57.94%,67.33%,22.82%,39.44%,18.55%
205818964809,0,0,25.08%,25.39%,25.11%,91.23%,45.41%,48.42%,52.24%,44.21%,41.95%,59.29%
205819012325,0,0,57.11%,62.39%,64.70%,55.09%,99.92%,46.16%,40.62%,23.88%,15.43%,29.90%
205818977338,0,0,49.52%,47.25%,37.82%,41.48%,49.94%,46.65%,30.03%,47.95%,61.98%,60.75%
205818001461,0,0,52.73%,60.43%,78.43%,99.98%,57.70%,1.57%,46.08%,28.87%,36.05%,47.36%
205818694009,0,0,71.80%,73.81%,51.88%,39.55%,39.48%,33.35%,36.52%,43.57%,41.32%,46.89%
205819008955,0,0,59.60%,76.56%,64.07%,56.55%,23.87%,25.54%,58.98%,43.21%,26.47%,44.45%
205818744116,0,0,35.75%,29.66%,32.21%,44.99%,40.47%,68.19%,65.86%,70.19%,67.11%,56.42%
205819010142,0,0,61.60%,62.47%,59.95%,59.97%,59.72%,52.45%,25.17%,20.70%,40.48%,56.70%
205818990518,0,0,56.00%,64.30%,55.26%,99.52%,53.33%,11.83%,36.58%,66.09%,21.62%,51.23%
205818239094,0,0,38.69%,43.92%,39.68%,61.46%,64.73%,63.01%,66.19%,20.89%,45.50%,55.64%
205818564873,0,0,83.53%,84.49%,81.62%,39.25%,47.49%,36.42%,38.72%,37.99%,40.13%,35.31%
205819008535,0,0,52.06%,53.27%,38.55%,50.81%,62.75%,57.66%,52.40%,41.60%,45.03%,53.63%
205819013037,0,0,42.63%,45.71%,39.92%,68.40%,51.56%,61.14%,61.16%,53.15%,56.40%,58.85%
205818034067,0,0,33.73%,28.65%,30.70%,48.03%,42.73%,56.84%,80.11%,75.34%,85.40%,71.09%
205819022962,0,0,30.10%,39.19%,48.57%,70.84%,64.20%,56.61%,77.85%,49.83%,26.49%,72.61%
205819002917,0,0,51.92%,59.91%,55.60%,78.38%,40.54%,51.23%,55.16%,65.94%,51.58%,33.97%
205818994048,0,0,34.44%,38.08%,33.82%,36.70%,52.87%,69.46%,66.16%,54.16%,98.79%,99.96%
205819015852,0,0,32.43%,25.93%,33.98%,59.19%,96.85%,75.75%,70.47%,58.33%,61.93%,56.79%
205818963878,0,0,98.53%,99.71%,80.41%,86.01%,41.21%,43.85%,48.50%,45.21%,46.29%,49.50%
205818203398,0,0,32.95%,29.08%,30.33%,76.59%,95.21%,99.90%,50.36%,99.55%,47.27%,42.78%
205818981338,0,0,36.43%,31.01%,36.01%,41.73%,41.70%,98.25%,98.43%,97.53%,97.19%,47.84%
205818966909,0,0,90.75%,89.98%,11.38%,36.32%,51.50%,82.24%,57.45%,37.27%,56.09%,74.98%
205819021532,0,0,63.07%,35.17%,93.04%,46.60%,97.87%,53.39%,64.48%,38.56%,68.14%,57.42%
205818937608,0,0,35.48%,43.40%,75.74%,96.60%,75.18%,26.06%,98.74%,37.11%,69.18%,75.42%
205819003611,0,0,99.10%,98.54%,77.30%,55.50%,44.86%,40.09%,58.63%,53.53%,48.64%,45.06%
205818208080,0,0,51.05%,58.70%,60.94%,54.75%,83.76%,82.11%,79.99%,36.14%,43.35%,88.63%
205819002468,0,0,97.21%,37.03%,56.54%,43.21%,66.05%,51.61%,44.07%,94.75%,85.50%,29.61%
205819025285,0,0,83.99%,68.70%,70.57%,94.56%,87.27%,51.02%,34.86%,32.25%,85.54%,79.51%
205816003892,0,0,46.87%,32.46%,49.53%,53.41%,72.42%,46.93%,87.66%,99.86%,77.58%,86.08%
205819010577,0,0,28.97%,55.06%,54.85%,50.28%,84.43%,94.01%,94.03%,92.73%,91.77%,53.78%
205819027625,0,0,53.77%,89.48%,99.85%,57.25%,50.46%,99.85%,88.45%,64.99%,62.39%,56.22%
205818929788,0,0,21.13%,99.58%,99.15%,99.69%,78.15%,65.67%,99.82%,58.03%,45.96%,50.50%
205818932238,0,0,96.96%,99.21%,74.56%,99.80%,46.84%,65.34%,66.32%,51.91%,83.67%,41.43%
205819031040,0,0,82.40%,82.28%,59.42%,64.89%,26.99%,99.90%,93.51%,41.17%,35.71%,93.20%
205818928838,0,0,99.23%,54.29%,42.95%,70.47%,99.77%,85.10%,98.90%,55.29%,42.40%,51.97%
205818137081,0,0,84.05%,80.26%,75.95%,77.71%,79.33%,79.32%,80.84%,78.80%,83.45%,87.72%
205819001162,0,0,99.99%,99.99%,100.00%,42.55%,100.00%,78.20%,79.79%,75.03%,80.32%,80.98%
205819033660,0,0,66.20%,76.78%,99.98%,99.97%,62.55%,100.00%,99.99%,69.10%,86.07%,94.29%
205819009051,0,0,99.80%,99.90%,99.90%,67.21%,99.74%,99.75%,89.39%,89.58%,63.32%,50.13%
205818964969,0,0,99.84%,99.87%,77.34%,99.94%,99.68%,99.69%,98.86%,57.82%,60.30%,64.09%
205818233533,0,0,99.38%,98.26%,97.89%,95.47%,89.69%,89.21%,89.13%,88.95%,87.20%,67.33%
205819014469,0,0,99.95%,99.99%,99.99%,58.40%,70.16%,99.88%,95.39%,92.00%,91.47%,89.66%
205819001670,0,0,99.36%,91.47%,98.69%,99.00%,80.20%,67.83%,99.68%,95.13%,92.98%,89.35%
205818976749,0,0,99.58%,66.51%,99.73%,99.82%,99.87%,99.82%,99.79%,99.96%,99.91%,99.71%
205819022823,0,0,98.25%,98.29%,99.31%,99.99%,99.99%,99.99%,99.99%,99.88%,99.86%,99.86%
205818955828,0,1,5.94%,3.34%,4.89%,3.62%,3.89%,7.41%,10.96%,8.44%,7.66%,8.40%
205818359966,0,1,4.36%,4.53%,4.91%,4.73%,9.14%,11.34%,10.58%,7.63%,6.90%,4.95%
205818978919,0,1,6.13%,6.10%,5.60%,5.76%,6.60%,5.91%,6.80%,9.34%,7.28%,10.13%
205819006812,0,1,12.62%,10.24%,12.13%,9.97%,5.39%,6.28%,7.13%,6.21%,6.62%,5.52%
205818515647,0,1,20.53%,19.56%,7.58%,6.70%,9.58%,6.10%,4.00%,4.08%,5.42%,4.71%
205819002088,0,1,10.76%,14.38%,5.51%,13.82%,10.28%,10.59%,5.60%,10.45%,8.77%,9.25%
205818314270,0,1,10.28%,10.80%,9.15%,8.43%,9.83%,13.45%,14.22%,10.63%,6.92%,8.06%
205818011032,0,1,11.49%,10.69%,9.19%,15.44%,17.77%,10.78%,15.77%,9.62%,4.27%,5.64%
205818728411,0,1,17.14%,16.42%,14.14%,9.71%,8.09%,7.16%,6.37%,9.56%,10.11%,12.27%
205819000421,0,1,8.53%,11.42%,16.04%,15.04%,13.26%,14.11%,9.58%,8.51%,9.23%,9.65%
205818091393,0,1,11.95%,14.82%,13.46%,12.01%,12.75%,9.57%,8.27%,9.13%,11.94%,11.15%
205819022003,0,1,29.61%,20.74%,4.28%,4.27%,5.88%,23.60%,4.12%,1.45%,2.17%,16.53%
205819021873,0,1,12.81%,2.61%,5.29%,7.71%,18.21%,10.90%,11.29%,10.62%,5.01%,14.94%
205818922437,0,1,10.34%,3.55%,9.51%,10.01%,10.40%,7.35%,17.01%,13.35%,11.66%,6.27%
205818671195,0,1,8.34%,8.00%,6.99%,16.24%,11.65%,15.49%,18.72%,14.86%,11.89%,12.11%
205818999450,0,1,4.97%,4.64%,7.02%,2.08%,41.16%,17.90%,15.72%,15.44%,14.66%,14.47%
205818342493,0,1,4.99%,5.67%,5.03%,5.72%,0.81%,0.62%,0.55%,0.77%,95.34%,92.35%
205818379463,0,1,23.29%,18.31%,11.10%,22.07%,4.00%,7.69%,8.47%,15.53%,7.60%,14.49%
205818955438,0,1,10.64%,11.30%,12.31%,14.43%,17.48%,17.31%,19.72%,12.61%,12.42%,13.90%
205818942488,0,1,27.96%,26.97%,19.48%,31.24%,16.47%,1.52%,2.79%,11.46%,14.42%,12.66%
205819021580,0,1,21.00%,15.28%,22.30%,11.28%,12.55%,12.52%,12.92%,9.64%,11.93%,11.32%
205818928028,0,1,13.20%,13.80%,21.68%,8.10%,14.89%,11.17%,20.29%,16.38%,17.01%,17.27%
205819008219,0,1,8.61%,9.46%,10.36%,29.89%,35.47%,16.31%,16.29%,14.03%,8.96%,9.61%
205819019557,0,1,27.86%,29.77%,43.08%,11.05%,15.92%,11.66%,9.71%,10.87%,7.32%,11.86%
205819015418,0,1,25.65%,23.35%,22.85%,7.60%,13.25%,18.08%,8.28%,10.23%,8.38%,18.20%
205818933418,0,1,34.29%,47.10%,45.50%,43.39%,27.97%,5.08%,4.82%,4.82%,8.08%,11.94%
205818042783,0,1,19.58%,17.77%,14.13%,12.09%,15.49%,22.34%,18.00%,16.25%,14.17%,17.81%
205818978289,0,1,27.41%,18.10%,14.29%,13.18%,16.91%,21.68%,20.50%,14.99%,17.38%,10.93%
205818888903,0,1,30.45%,30.43%,28.26%,15.71%,8.17%,22.50%,14.87%,14.09%,11.53%,11.22%
205818362495,0,1,30.30%,22.08%,19.68%,21.54%,25.61%,15.47%,16.12%,16.74%,18.65%,7.80%
205819002370,0,1,37.28%,45.26%,40.37%,6.99%,3.34%,28.56%,15.00%,14.80%,13.13%,11.86%
205818297836,0,1,34.41%,34.09%,18.47%,19.55%,17.81%,7.89%,10.24%,28.52%,11.00%,16.43%
205818893070,0,1,16.79%,14.08%,17.59%,24.37%,7.76%,9.92%,13.27%,25.74%,34.14%,49.13%
205818959858,0,1,19.06%,14.67%,12.21%,16.33%,16.64%,25.74%,33.57%,25.66%,21.19%,22.79%
205818938238,0,1,21.47%,22.63%,22.53%,14.48%,20.00%,26.22%,20.30%,23.72%,21.41%,13.03%
205818045958,0,1,14.34%,15.57%,14.32%,19.80%,24.63%,25.01%,22.44%,24.43%,22.78%,27.57%
205818946009,0,1,21.26%,21.79%,49.84%,30.68%,23.58%,14.62%,16.11%,21.43%,12.23%,15.33%
205819001537,0,1,25.44%,24.07%,28.13%,12.71%,27.25%,33.51%,23.49%,21.01%,7.74%,15.89%
205818998413,0,1,27.84%,23.81%,19.57%,21.09%,27.49%,32.03%,30.81%,32.39%,17.63%,9.39%
205818999697,0,1,38.61%,29.57%,63.15%,44.11%,2.87%,10.21%,16.04%,10.48%,13.94%,23.72%
