No,Treated,classify,持股集中度2013.6,持股集中度2013.12,持股集中度2014.6,持股集中度2014.12,持股集中度2015.6,持股集中度2015.12,持股集中度2016.6,持股集中度2016.12,持股集中度2017.6,持股集中度2017.12
205819039269,0,1,0.00%,0.00%,0.00%,0.00%,31.40%,43.31%,38.53%,33.96%,36.22%,34.29%
205816006345,0,1,0.00%,0.00%,0.00%,0.00%,19.12%,15.24%,27.05%,98.86%,86.39%,84.53%
205819205673,0,1,0.00%,0.00%,0.00%,0.00%,44.78%,24.55%,27.75%,25.83%,31.07%,26.78%
205819039681,0,1,0.00%,0.00%,0.00%,0.00%,54.01%,22.51%,26.26%,46.08%,11.78%,10.90%
205819050888,0,1,0.00%,0.00%,0.00%,0.00%,26.81%,45.64%,43.95%,29.89%,73.25%,61.45%
205819038721,0,1,0.00%,0.00%,0.00%,0.00%,33.65%,50.78%,47.06%,36.62%,16.65%,55.56%
205819750329,0,1,0.00%,0.00%,0.00%,0.00%,27.36%,58.24%,23.43%,85.52%,53.00%,35.40%
207000013773,0,1,0.00%,0.00%,0.00%,0.00%,29.92%,59.08%,32.13%,44.07%,62.94%,42.54%
205819041259,0,1,0.00%,0.00%,0.00%,0.00%,42.89%,59.70%,55.16%,46.18%,8.99%,10.00%
205819039996,0,1,0.00%,0.00%,0.00%,0.00%,36.93%,40.83%,43.69%,22.95%,29.90%,83.40%
205819037082,0,1,0.00%,0.00%,0.00%,0.00%,24.94%,53.00%,37.69%,50.70%,99.98%,98.50%
208500001918,0,1,0.00%,0.00%,0.00%,0.00%,70.14%,24.42%,25.10%,62.65%,6.12%,7.10%
205819115119,0,1,0.00%,0.00%,0.00%,0.00%,52.01%,19.59%,51.86%,29.78%,15.60%,53.43%
205816006828,0,1,0.00%,0.00%,0.00%,0.00%,54.29%,49.43%,27.64%,31.91%,31.91%,28.04%
208500001320,0,1,0.00%,0.00%,0.00%,0.00%,40.52%,78.76%,57.31%,50.91%,41.41%,9.09%
205818567048,0,1,0.00%,0.00%,0.00%,0.00%,64.94%,32.06%,25.01%,48.53%,29.34%,13.89%
208500002308,0,1,0.00%,0.00%,0.00%,0.00%,62.31%,46.03%,21.73%,25.01%,31.18%,32.61%
205819700818,0,1,0.00%,0.00%,0.00%,0.00%,56.48%,14.49%,95.99%,38.79%,20.17%,15.57%
205819099888,0,1,0.00%,0.00%,0.00%,0.00%,50.55%,35.27%,45.81%,52.59%,48.89%,50.26%
207000014295,0,1,0.00%,0.00%,0.00%,0.00%,60.66%,17.00%,35.48%,88.77%,54.63%,13.97%
208500000953,0,1,0.00%,0.00%,0.00%,0.00%,41.32%,50.49%,51.78%,52.19%,99.22%,99.28%
205819040278,0,1,0.00%,0.00%,0.00%,0.00%,38.34%,70.03%,69.07%,90.76%,99.73%,51.18%
205819038600,0,1,0.00%,0.00%,0.00%,0.00%,59.80%,42.95%,96.14%,96.32%,8.13%,7.50%
207000014538,0,1,0.00%,0.00%,0.00%,0.00%,97.02%,18.63%,30.02%,36.43%,60.40%,13.78%
207000014403,0,1,0.00%,0.00%,0.00%,0.00%,97.97%,25.55%,34.70%,32.78%,34.24%,31.08%
205819038291,0,1,0.00%,0.00%,0.00%,0.00%,74.45%,38.14%,14.05%,59.67%,38.86%,58.80%
208500002968,0,1,0.00%,0.00%,0.00%,0.00%,52.21%,45.79%,44.78%,60.90%,57.45%,99.88%
208500001803,0,1,0.00%,0.00%,0.00%,0.00%,47.65%,99.74%,99.05%,98.49%,5.66%,60.18%
205819051047,0,1,0.00%,0.00%,0.00%,0.00%,56.84%,71.53%,62.81%,65.38%,62.67%,63.93%
207000014056,0,1,0.00%,0.00%,0.00%,0.00%,74.85%,2.73%,99.95%,45.19%,36.55%,78.74%
205819581966,0,1,0.00%,0.00%,0.00%,0.00%,68.56%,64.51%,64.28%,62.86%,59.38%,54.66%
205819498888,0,1,0.00%,0.00%,0.00%,50.82%,45.23%,31.45%,73.07%,63.73%,0.00%,52.82%
205816005450,0,1,0.00%,0.00%,0.00%,0.00%,68.85%,66.13%,65.95%,68.29%,67.65%,40.97%
205819038328,0,1,0.00%,0.00%,0.00%,0.00%,55.29%,99.83%,74.41%,56.14%,83.43%,99.72%
205819053060,0,1,0.00%,0.00%,0.00%,0.00%,91.45%,22.61%,53.00%,57.29%,72.67%,52.76%
205819041198,0,1,0.00%,0.00%,0.00%,0.00%,52.53%,54.74%,99.97%,99.97%,99.96%,100.00%
205819040378,0,1,0.00%,0.00%,0.00%,0.00%,68.52%,78.02%,99.91%,57.56%,58.15%,65.22%
205819050736,0,1,0.00%,0.00%,0.00%,0.00%,75.51%,85.25%,73.68%,80.87%,60.28%,45.84%
208500002031,0,1,0.00%,0.00%,0.00%,0.00%,96.61%,32.85%,33.36%,62.00%,73.00%,75.47%
205816006775,0,1,0.00%,0.00%,0.00%,0.00%,78.54%,84.25%,87.07%,45.31%,88.01%,85.86%
205816005369,0,1,0.00%,0.00%,25.24%,47.84%,67.79%,93.00%,87.75%,52.04%,0.00%,0.00%
205819040116,0,1,0.00%,0.00%,0.00%,0.00%,99.78%,94.71%,60.84%,99.98%,52.79%,44.29%
205819040492,0,1,0.00%,0.00%,0.00%,0.00%,97.13%,47.98%,81.21%,80.63%,92.91%,95.11%
205819050226,0,1,0.00%,0.00%,0.00%,0.00%,98.55%,86.34%,84.45%,76.00%,88.00%,67.71%
207000014062,0,1,0.00%,0.00%,0.00%,0.00%,99.76%,52.70%,99.96%,99.01%,99.84%,50.21%
205818954558,0,1,64.76%,0.00%,0.00%,73.11%,11.51%,12.13%,81.07%,86.81%,0.00%,0.00%
205816006210,0,1,0.00%,0.00%,0.00%,0.00%,99.74%,99.99%,99.36%,48.78%,90.71%,99.86%
205819037011,0,1,0.00%,0.00%,0.00%,66.75%,46.02%,92.66%,98.55%,99.94%,0.00%,99.93%
205819036726,0,1,0.00%,0.00%,0.00%,95.37%,65.48%,0.00%,99.92%,99.92%,37.12%,38.64%
205819038995,0,1,0.00%,0.00%,0.00%,0.00%,99.66%,99.97%,69.42%,99.94%,99.95%,99.95%
205818327941,0,1,0.00%,0.00%,0.00%,0.00%,82.14%,60.70%,52.17%,73.26%,32.43%,42.95%
205818003902,0,1,67.53%,72.74%,59.15%,90.30%,0.00%,0.00%,90.01%,54.57%,0.00%,0.00%
205818003714,0,1,0.00%,53.55%,0.00%,0.00%,0.00%,99.95%,96.31%,99.59%,83.56%,98.72%
205818404644,0,0,21.78%,25.74%,41.93%,38.22%,0.00%,0.00%,0.00%,0.00%,5.00%,4.79%
205819051420,0,0,0.00%,0.00%,0.00%,0.00%,13.14%,32.36%,31.33%,38.07%,5.98%,39.53%
208500001728,0,0,0.00%,0.00%,0.00%,0.00%,33.22%,28.63%,36.77%,45.04%,48.30%,31.88%
208500002800,0,0,0.00%,0.00%,0.00%,0.00%,30.54%,26.52%,28.73%,84.04%,39.31%,36.51%
208500003813,0,0,0.00%,0.00%,0.00%,0.00%,37.24%,36.42%,28.18%,34.02%,38.99%,61.23%
205819039037,0,0,0.00%,0.00%,0.00%,0.00%,49.06%,66.59%,46.31%,45.26%,53.60%,88.95%
205819050015,0,0,0.00%,0.00%,0.00%,0.00%,61.95%,42.00%,38.19%,64.18%,48.30%,56.42%
208500001193,0,0,0.00%,0.00%,0.00%,0.00%,55.52%,54.42%,53.90%,96.08%,58.80%,48.96%
207000013060,0,0,0.00%,0.00%,0.00%,0.00%,45.71%,78.04%,81.10%,97.29%,78.10%,54.24%
205816007597,0,0,0.00%,0.00%,0.00%,0.00%,60.88%,90.37%,66.36%,42.48%,49.64%,56.69%
205819038390,0,0,0.00%,0.00%,0.00%,0.00%,95.30%,57.02%,75.49%,43.57%,57.41%,56.20%
205818974398,0,0,0.00%,0.00%,0.00%,0.00%,97.42%,96.09%,96.50%,70.41%,45.07%,38.67%
205819041052,0,0,0.00%,0.00%,0.00%,0.00%,95.88%,99.96%,95.10%,99.90%,97.00%,94.95%
205819004440,0,0,0.00%,0.00%,83.12%,83.83%,51.32%,49.46%,0.00%,0.00%,81.78%,99.96%
205819019486,0,0,99.82%,99.90%,0.00%,0.00%,0.00%,0.00%,100.00%,78.75%,97.95%,81.07%
205819007628,0,1,0.00%,0.00%,0.00%,0.00%,41.57%,33.20%,2.81%,1.76%,8.55%,6.20%
208500002101,0,1,0.00%,0.00%,0.00%,0.00%,34.35%,28.18%,27.52%,38.30%,38.25%,37.51%
205819039401,0,1,0.00%,0.00%,0.00%,0.00%,32.05%,52.39%,47.27%,35.15%,34.81%,16.65%
208500002181,0,1,0.00%,0.00%,0.00%,0.00%,48.86%,13.93%,10.59%,42.15%,33.76%,33.72%
207000014296,0,1,0.00%,0.00%,0.00%,0.00%,58.65%,30.40%,16.74%,21.48%,33.35%,20.21%
205819002429,0,1,0.00%,0.00%,0.00%,0.00%,31.06%,76.04%,34.57%,32.95%,54.51%,70.28%
208500003256,0,1,0.00%,0.00%,0.00%,0.00%,46.90%,24.04%,21.34%,30.82%,23.01%,99.96%
208500003278,0,1,0.00%,0.00%,0.00%,0.00%,26.78%,52.47%,99.33%,99.41%,0.52%,98.94%
208500001671,0,1,0.00%,0.00%,0.00%,0.00%,62.81%,56.07%,32.39%,47.35%,16.15%,6.93%
205816007548,0,1,0.00%,0.00%,0.00%,0.00%,69.95%,37.74%,36.86%,39.03%,37.24%,34.25%
208500001751,0,1,0.00%,0.00%,0.00%,0.00%,52.92%,45.40%,73.92%,47.07%,33.86%,79.47%
208500003839,0,1,0.00%,0.00%,0.00%,0.00%,70.51%,21.15%,20.28%,58.01%,69.10%,54.75%
208500002413,0,1,0.00%,0.00%,0.00%,0.00%,78.13%,49.92%,71.38%,59.26%,29.47%,5.83%
208500003743,0,1,0.00%,0.00%,0.00%,0.00%,99.91%,24.79%,30.54%,51.71%,18.66%,44.19%
205819036257,0,1,0.00%,0.00%,0.00%,70.19%,45.72%,51.39%,47.76%,23.08%,0.00%,35.54%
205819039356,0,1,0.00%,0.00%,0.00%,0.00%,54.88%,79.80%,80.18%,79.27%,50.58%,84.70%
205819037121,0,1,0.00%,0.00%,0.00%,0.00%,69.08%,76.71%,63.44%,74.18%,75.35%,84.28%
205819036232,0,1,0.00%,0.00%,0.00%,89.56%,0.00%,6.35%,41.38%,98.94%,98.27%,99.70%
205819009003,0,1,99.15%,0.00%,45.49%,0.00%,0.00%,0.00%,45.33%,56.53%,53.11%,33.15%
205819024037,0,1,98.98%,98.35%,96.88%,0.00%,0.00%,0.00%,0.00%,66.50%,90.15%,90.49%
205819036855,0,0,0.00%,0.00%,0.00%,25.62%,35.04%,23.27%,29.16%,34.20%,31.43%,25.84%
205819036240,0,0,0.00%,0.00%,0.00%,43.86%,25.46%,24.76%,28.68%,49.41%,15.89%,47.13%
205819036709,0,0,0.00%,0.00%,0.00%,27.00%,48.71%,56.56%,63.26%,63.97%,46.16%,50.92%
205819036622,0,0,0.00%,0.00%,0.00%,58.49%,27.91%,71.03%,49.26%,50.63%,84.62%,99.76%
205819036049,0,0,0.00%,0.00%,60.00%,51.72%,67.70%,3.89%,9.67%,74.92%,85.33%,0.00%
205818996028,0,0,19.75%,15.28%,40.94%,95.15%,0.00%,0.00%,0.00%,19.88%,92.94%,92.30%
205819036600,0,0,0.00%,0.00%,0.00%,99.48%,61.83%,68.08%,55.09%,55.72%,73.84%,81.93%
205816005563,0,0,0.00%,0.00%,0.00%,97.07%,84.35%,73.12%,46.37%,88.43%,95.06%,100.00%
205819968888,0,1,0.00%,0.00%,0.00%,22.39%,4.09%,3.85%,4.67%,4.18%,4.52%,5.73%
207000012690,0,1,0.00%,0.00%,0.00%,34.89%,12.27%,11.36%,12.33%,12.37%,15.29%,10.64%
205819520127,0,1,0.00%,0.00%,0.00%,16.43%,30.00%,20.81%,21.58%,14.78%,16.20%,17.83%
205819036457,0,1,0.00%,0.00%,0.00%,45.60%,8.47%,15.72%,19.09%,33.80%,16.10%,13.83%
205819037066,0,1,0.00%,0.00%,0.00%,10.16%,37.74%,29.81%,27.24%,21.01%,45.46%,55.84%
205819000670,0,1,0.00%,0.00%,0.00%,43.82%,21.39%,33.67%,23.42%,23.32%,26.30%,29.95%
205819036206,0,1,0.00%,0.00%,0.00%,61.05%,11.26%,3.18%,74.07%,23.34%,22.60%,18.47%
205819037683,0,1,0.00%,0.00%,0.00%,22.89%,18.37%,36.91%,40.66%,58.07%,68.20%,45.22%
205819036442,0,1,0.00%,0.00%,0.00%,33.92%,28.16%,29.71%,20.50%,22.21%,56.08%,37.50%
205819036526,0,1,0.00%,0.00%,0.00%,28.69%,24.46%,72.57%,32.14%,26.60%,33.95%,33.75%
205819036907,0,1,0.00%,0.00%,0.00%,53.26%,9.20%,11.05%,35.51%,52.08%,60.27%,52.59%
205819037405,0,1,0.00%,0.00%,0.00%,20.08%,26.04%,51.20%,47.38%,81.56%,77.02%,74.04%
208518000911,0,1,0.00%,0.00%,0.00%,53.87%,21.72%,31.50%,70.49%,34.20%,54.20%,26.79%
205818414382,0,1,0.00%,47.17%,0.00%,0.00%,64.80%,15.80%,25.37%,55.72%,51.29%,46.59%
205819036211,0,1,0.00%,0.00%,0.00%,52.48%,43.37%,44.60%,36.70%,49.95%,56.72%,61.00%
205819005071,0,1,89.55%,49.96%,34.20%,42.30%,43.65%,54.51%,27.62%,0.00%,0.00%,0.00%
205819036550,0,1,0.00%,0.00%,0.00%,60.38%,52.25%,55.63%,29.54%,33.40%,63.32%,45.40%
205819585858,0,1,0.00%,0.00%,0.00%,66.96%,42.95%,99.14%,33.74%,44.88%,34.14%,49.77%
205819036258,0,1,0.00%,0.00%,0.00%,99.92%,36.66%,56.61%,55.01%,32.16%,38.82%,34.42%
205819037010,0,1,0.00%,0.00%,0.00%,37.46%,62.83%,55.44%,61.27%,50.82%,49.56%,99.90%
205816001940,0,1,0.00%,0.00%,0.00%,99.33%,57.07%,54.62%,36.93%,70.67%,32.73%,37.73%
205818986558,0,1,96.88%,0.00%,64.20%,0.00%,0.00%,18.60%,26.05%,38.70%,51.21%,53.45%
