"","city1_2","flight","plane","flag"
"1","阿坝成都","CA4220","319",18903
"2","阿坝成都","CA4218","319",18903
"3","阿尔山北京南苑","KN2986","737",25664
"4","阿尔山乌兰浩特","G52744","CR9",23724
"5","阿克苏成都","CA4244","320",19273
"6","阿克苏乌鲁木齐","CZ6862","73G",23572
"7","阿克苏乌鲁木齐","CZ6868","73G",23572
"8","阿克苏乌鲁木齐","GS7512","E90",23572
"9","阿克苏乌鲁木齐","CZ6870","738",23572
"10","阿克苏乌鲁木齐","GS7512","E90",23572
"11","阿克苏乌鲁木齐","GS7516","E90",23572
"12","阿克苏乌鲁木齐","GS7518","E90",23572
"13","阿克苏乌鲁木齐","CZ6860","738",23572
"14","阿克苏乌鲁木齐","CZ6866","E90",23572
"15","阿克苏乌鲁木齐","CZ6846","E90",23572
"16","阿克苏乌鲁木齐","CZ6919","73G",23572
"17","阿克苏乌鲁木齐","HU7354","738",23572
"18","阿克苏乌鲁木齐","GS7514","E90",23572
"19","阿克苏乌鲁木齐","CZ6870","738",23572
"20","阿克苏乌鲁木齐","CZ6846","E90",23572
"21","阿克苏乌鲁木齐","CZ6860","738",23572
"22","阿克苏西安","SC8816","738",21646
"23","阿克苏重庆","CA4576","738",24255
"24","阿克苏重庆","CA4576","738",24255
"25","阿拉善右旗阿拉善左旗","BK2810","MA6",18911
"26","阿拉善左旗阿拉善右旗","BK2809","MA6",18911
"27","阿拉善左旗阿拉善右旗","BK2763","MA6",18911
"28","阿拉善左旗呼和浩特","BK2783","MA6",18910
"29","阿拉善左旗呼和浩特","BK2841","MA6",18910
"30","阿拉善左旗呼和浩特","BK2878","MA6",18910
"31","阿勒泰乌鲁木齐","CZ6858","73G",18896
"32","阿勒泰乌鲁木齐","GS7556","E90",18896
"33","阿勒泰乌鲁木齐","GS7556","E90",18896
"34","阿勒泰乌鲁木齐","CZ6842","E90",18896
"35","阿勒泰乌鲁木齐","CZ6858","73G",18896
"36","阿勒泰乌鲁木齐","CZ6844","E90",18896
"37","阿勒泰乌鲁木齐","CZ6844","E90",18896
"38","阿勒泰乌鲁木齐","CZ6844","E90",18896
"39","阿勒泰乌鲁木齐","CZ6858","73G",18896
"40","阿勒泰乌鲁木齐","CZ6856","E90",18896
"41","阿勒泰乌鲁木齐","GS7558","E90",18896
"42","阿勒泰乌鲁木齐","CZ6858","73G",18896
"43","阿里喀什","MU2132","320",9074
"44","阿里拉萨","TV9918","319",10094
"45","阿里拉萨","TV9808","319",10094
"46","安庆广州","CZ3586","319",8965
"47","安庆上海虹桥","MU2220","320",1119
"48","安庆上海虹桥","MU2220","320",1119
"49","安顺北京南苑","KN5226","738",21664
"50","鞍山北京首都","CZ6113","320",59
"51","鞍山广州","CZ6564","319",21648
"52","鞍山上海浦东","FM9198","73G",12518
"53","巴彦淖尔北京南苑","KN2968","738",8203
"54","巴彦淖尔北京首都","CA1148","738",8203
"55","巴彦淖尔呼和浩特","GS6648","EMB",10910
"56","巴彦淖尔呼和浩特","GS6652","EMB",10910
"57","白山北京首都","CZ3683/4","321",12571
"58","白山大连","9C8908","320",8578
"59","白山哈尔滨","BK2734","MA6",18768
"60","白山上海浦东","9C8532","320",9140
"61","白山上海浦东","9C8532","320",9140
"62","白山上海浦东","9C8532","320",9140
"63","白山上海浦东","9C8532","320",9140
"64","白山上海浦东","9C8842","320",9140
"65","白山上海浦东","9C8842","320",9140
"66","白山上海浦东","9C8532","320",9140
"67","白山沈阳","CZ6315","320",18662
"68","白山天津","HO1136","320",12697
"69","白山天津","9C8690","320",12697
"70","白山延吉","BK3003","MA6",21579
"71","白山长春","CZ6155","319",18947
"72","白山长春","BK2753","MA6",18947
"73","白山长春","CZ6155","319",18947
"74","百色广州","HU7758","737",17232
"75","百色深圳","BK2860","737",19271
"76","百色重庆","MU5494","319",17236
"77","百色重庆","MU5494","319",17236
"78","百色重庆","MU5494","319",17236
"79","包头北京南苑","KN2902","738",6705
"80","包头北京南苑","KN2908","738",6705
"81","包头北京南苑","KN2906","738",6705
"82","包头北京首都","CA1136","737",6705
"83","包头北京首都","CA1144","738",6705
"84","包头北京首都","CA1144","738",6705
"85","包头北京首都","JD5118","319",6705
