"","x"
"1",0.909768930444545
"2",0.905666721038072
"3",0.933298120688081
"4",0.942232754081095
"5",0.921106904926663
"6",0.902810033680189
"7",0.933936128744849
"8",0.885212088601919
"9",0.899008903964384
"10",0.929396193460037
"11",0.908887537993921
"12",0.946795158817384
"13",0.913874833116316
"14",0.892550408593189
"15",0.903888685363835
"16",0.932091707887914
"17",0.910219329131099
"18",0.940381863472546
"19",0.93132569773565
"20",0.916598613001491
"21",0.922029438953282
"22",0.921025821478242
"23",0.914194350683958
"24",0.940234575888784
"25",0.921799650214423
"26",0.936805555555556
"27",0.927198525539758
"28",0.921194501004414
"29",0.917972986295968
"30",0.934302325581395
"31",0.93893702792582
"32",0.922633861907132
"33",0.915603497233118
"34",0.921881808278867
"35",0.921788976786222
"36",0.91851092424825
"37",0.91020067494077
"38",0.931747029884424
"39",0.912002536863802
"40",0.925949037450497
"41",0.918765968318855
"42",0.941524115690751
"43",0.912065561804277
"44",0.909302325581395
"45",0.928581798472721
"46",0.909905885843319
"47",0.926630518185073
"48",0.916366334534662
"49",0.933677931590527
"50",0.927906976744186
"51",0.920642945103377
"52",0.933441311940072
"53",0.912737917466638
"54",0.927124568835799
"55",0.931613532488024
"56",0.891598728982036
"57",0.91112351578289
"58",0.928105444438761
"59",0.912750936134803
"60",0.933746300502443
"61",0.911364231029315
"62",0.917043938720239
"63",0.906240728426007
"64",0.915481847833451
"65",0.93364651416122
"66",0.930260942760943
"67",0.920705579323304
"68",0.91979433418694
"69",0.907035020524535
"70",0.9310864167379
"71",0.909026480252561
"72",0.930752995642701
"73",0.926455125244445
"74",0.923994296840059
"75",0.906309332554403
"76",0.928072637563162
"77",0.855392156862745
"78",0.940878701050621
"79",0.906469040797399
"80",0.913210594847621
"81",0.913187847579102
"82",0.907490694789082
"83",0.929311574033381
"84",0.93440281030445
"85",0.91591410083197
"86",0.886318075509522
"87",0.935924702319499
"88",0.920554915514593
"89",0.924774868625136
"90",0.895178080342832
"91",0.937757192906148
"92",0.932683545306866
"93",0.910205482477751
"94",0.925469125249318
"95",0.885407853481312
"96",0.94128536312248
"97",0.913968224305534
"98",0.910960426856381
"99",0.926989970123773
"100",0.924599303851406
"101",0.912010368663595
"102",0.931103688728722
"103",0.894413355079612
"104",0.942281204443774
"105",0.916532762886801
"106",0.919088614808483
"107",0.920585498065211
"108",0.933887729460369
"109",0.918580419801591
"110",0.909053562345945
"111",0.929086651053864
"112",0.933472421797281
"113",0.933143921995774
"114",0.932848837209302
"115",0.891933510950251
"116",0.930760989599644
"117",0.90597490703987
"118",0.903159340659341
"119",0.914314516129032
"120",0.927890577507599
"121",0.896296964292275
"122",0.931026870514308
"123",0.917386897140418
"124",0.9124453158344
"125",0.919038816377433
"126",0.922938308246767
"127",0.91866955743685
"128",0.904936002178649
"129",0.934490740740741
"130",0.932850300538663
"131",0.895219557364007
"132",0.914148237692289
"133",0.932802287581699
"134",0.917721451459746
"135",0.899109127505032
"136",0.932600732600733
"137",0.934576271186441
"138",0.901914484802185
"139",0.940697674418605
"140",0.925304111622885
"141",0.92164015118221
"142",0.920115293249622
"143",0.95
"144",0.924767852597296
"145",0.909062379044491
"146",0.927157667046571
"147",0.949680010893246
"148",0.934319504739743
"149",0.92703488372093
"150",0.925067204301075
"151",0.941801513994027
"152",0.893103101593525
"153",0.921470914961431
"154",0.905129299106402
"155",0.937519385856079
"156",0.911338325652842
"157",0.92827788781546
"158",0.923359877117103
"159",0.931991358275383
"160",0.917520132149494
"161",0.929255282538372
"162",0.914238539561855
"163",0.910981021435081
"164",0.910575328485776
"165",0.909760383169835
"166",0.930683986131157
"167",0.910444313429388
"168",0.911943605305098
"169",0.92593709680122
"170",0.911264287870238
"171",0.929142326563194
"172",0.905978730475241
"173",0.922985761640589
"174",0.931528392972677
"175",0.926076478315284
"176",0.924154225104308
"177",0.891111973545364
"178",0.915147373926541
"179",0.92127770088688
"180",0.935633526694597
"181",0.942934847477279
"182",0.918724559023066
"183",0.940254301570333
"184",0.906576462353236
"185",0.920296196795159
"186",0.923546511627907
"187",0.928064371277256
"188",0.926611593169302
"189",0.908016172980575
"190",0.928845740681061
"191",0.929024830206212
"192",0.927114893788734
"193",0.917581461967364
"194",0.902709461700011
"195",0.947080782038887
"196",0.915932580168881
"197",0.919882046650019
"198",0.925542856955677
"199",0.925756241997439
"200",0.905975716316496
