,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flight_num
59,CA1227/8,733,呼和浩特,海拉尔,呼和浩特,NA,NA,NA,5,12.4.67
60,CA1239/40,733,呼和浩特,赤峰,呼和浩特,NA,NA,NA,5,12.4.67
61,CA1239/40,733,呼和浩特,赤峰,呼和浩特,NA,NA,NA,2,..3.5..
62,CA1241/2,733,北京首都,满洲里,北京首都,NA,NA,NA,4,12.4..7
63,CA1241/2,733,北京首都,满洲里,北京首都,NA,NA,NA,3,..3.56.
64,CA1245/6,733,北京首都,通辽,北京首都,NA,NA,NA,7,1234567
65,CA1249/50,733,呼和浩特,通辽,呼和浩特,NA,NA,NA,7,1234567
66,CA1281/2,733,北京首都,赤峰,北京首都,NA,NA,NA,7,1234567
67,CA1283/4,733,北京首都,乌兰浩特,北京首都,NA,NA,NA,7,1234567
68,CA1299/300,733,呼和浩特,海拉尔,呼和浩特,NA,NA,执行日期0701-1024执行,7,1234567
69,CA1399/400,733,呼和浩特,锡林浩特,呼和浩特,NA,NA,NA,7,1234567
70,CA1529/30,733,天津,厦门,天津,NA,NA,"或B733/73G执行 _x000D_
执行日期：3月27-10月29日；临时取消：6月11-6月30日_x000D_
取消：0701-0731",1,1......
71,CA1529/30,733,天津,厦门,天津,NA,NA,或B733/73G执行 ,3,..3.5.7
72,CA1633/4,733,北京首都,海拉尔,北京首都,NA,NA,NA,4,12..5.7
73,CA1633/4,733,北京首都,海拉尔,北京首都,NA,NA,NA,3,..34.6.
74,CA1681,733,北京首都,呼和浩特,NA,NA,NA,NA,7,1234567
75,CA1682,733,呼和浩特,北京首都,NA,NA,NA,NA,7,1234567
76,CA1683,733,北京首都,呼和浩特,NA,NA,NA,NA,7,1234567
77,CA1684,733,呼和浩特,北京首都,NA,NA,NA,NA,7,1234567
78,CA1685,733,北京首都,呼和浩特,NA,NA,NA,NA,7,1234567
79,CA1686,733,呼和浩特,北京首都,NA,NA,NA,NA,7,1234567
80,CZ6637/8,733,呼和浩特,北京首都,呼和浩特,NA,NA,执行日期0701-1029执行,7,1234567
81,MU2369/70,733,太原,杭州,厦门,杭州,太原,NA,7,1234567
82,HU7371,734,太原,北京首都,NA,NA,NA,或B738执行,7,1234567
83,HU7372,734,北京首都,太原,NA,NA,NA,或B738执行,3,12.4...
84,HU7372,734,北京首都,太原,NA,NA,NA,或B738执行,4,..3.567
85,HU7617,734,北京首都,乌海,NA,NA,NA,或B738执行,7,1234567
86,HU7618,734,乌海,北京首都,NA,NA,NA,或B738执行,3,..3.5.7
87,HU7618,734,乌海,北京首都,NA,NA,NA,或B738执行,4,12.4.6.
88,BK2811/2,735,天津,长沙,昆明,长沙,天津,或738执行,5,1234.6.
89,BK2811/2,735,天津,长沙,昆明,长沙,天津,或738执行,2,....5.7
90,BK2825/6,735,天津,杭州,天津,NA,NA,或738执行,7,1234567
