,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account
9805,MU5208,321,柳州,上海浦东,NA,NA,NA,执行日期0327-1029执行,7
9806,MU5257,321,青岛,广州,NA,NA,NA,执行日期0327-1029执行,7
9807,MU5258,321,广州,青岛,NA,NA,NA,执行日期0327-1029执行,7
9808,MU5271,321,上海虹桥,长沙,NA,NA,NA,执行日期0327-1029执行,7
9809,MU5272,321,长沙,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9810,MU5273,321,上海浦东,武汉,NA,NA,NA,执行日期0327-1029执行,7
9811,MU5289,321,上海浦东,珠海,NA,NA,NA,执行日期0327-1029执行,3
9812,MU5289,321,上海浦东,珠海,NA,NA,NA,执行日期0423-1029执行,4
9813,MU5290,321,珠海,上海浦东,NA,NA,NA,执行日期0327-1029执行,3
9814,MU5290,321,珠海,上海浦东,NA,NA,NA,执行日期0327-1029执行,4
9815,MU5303,321,上海虹桥,广州,NA,NA,NA,执行日期0327-1029执行,7
9816,MU5310,321,广州,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9817,MU5313,321,上海浦东,广州,NA,NA,NA,执行日期0327-1029执行,7
9818,MU5320,321,广州,上海浦东,NA,NA,NA,执行日期0327-1029执行,7
9819,MU5323,321,上海虹桥,长沙,NA,NA,NA,执行日期0327-1029执行,7
9820,MU5324,321,长沙,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9821,MU5331,321,上海虹桥,深圳,NA,NA,NA,执行日期0327-1029执行,7
9822,MU5332,321,深圳,上海浦东,NA,NA,NA,执行日期0327-1029执行,7
9823,MU5335,321,上海浦东,深圳,NA,NA,NA,执行日期0327-1029执行,7
9824,MU5336,321,深圳,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9825,MU5337,321,上海虹桥,深圳,NA,NA,NA,执行日期0327-1029执行,7
9826,MU5338,321,深圳,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9827,MU5340,321,深圳,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9828,MU5342,321,深圳,上海浦东,NA,NA,NA,执行日期0327-1029执行,7
9829,MU5346,321,深圳,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9830,MU5347,321,上海虹桥,深圳,NA,NA,NA,执行日期0327-1029执行,7
9831,MU5349,321,上海虹桥,深圳,NA,NA,NA,执行日期0327-1029执行,7
9832,MU5351,321,上海浦东,深圳,NA,NA,NA,执行日期0327-1029执行 或763/332/333/320/319执行,7
9833,MU5355,321,上海虹桥,深圳,NA,NA,NA,执行日期0327-1029执行,7
9834,MU5356,321,深圳,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9835,MU5357,321,上海虹桥,深圳,NA,NA,NA,执行日期0327-1029执行,7
9836,MU5358,321,深圳,上海浦东,NA,NA,NA,执行日期0327-1029执行 或763/332/333/320/319执行,7
9837,MU5360,321,深圳,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9838,MU5361,321,上海浦东,深圳,NA,NA,NA,执行日期0327-1029执行,5
9839,MU5361,321,上海浦东,深圳,NA,NA,NA,执行日期0327-1029执行,2
9840,MU5367,321,上海浦东,长沙,NA,NA,NA,执行日期0327-1029执行,7
9841,MU5368,321,长沙,上海浦东,NA,NA,NA,执行日期0327-1029执行,7
9842,MU5381,321,上海虹桥,三亚,NA,NA,NA,执行日期0327-1029执行 或773/763/333/332/320/319执行,7
9843,MU5382,321,三亚,上海虹桥,NA,NA,NA,执行日期0327-1029执行 或773/763/333/332/320/319执行,7
9844,MU5389,321,上海虹桥,洛阳,NA,NA,NA,执行日期0327-1029执行  或320/319执行,7
9845,MU5390,321,洛阳,上海虹桥,NA,NA,NA,执行日期0327-1029执行  或320/319执行,7
9846,MU5401,321,上海虹桥,成都,NA,NA,NA,执行日期0327-1029执行  或773/763/333/332/320/319执行,7
9847,MU5403,321,上海浦东,成都,NA,NA,NA,执行日期0327-1029执行 或763/332/333/320/319执行,7
9848,MU5405,321,上海虹桥,成都,NA,NA,NA,执行日期0327-1029执行,7
9849,MU5408,321,成都,上海虹桥,NA,NA,NA,执行日期0327-1029执行 或773/763/333/332/320/319执行,7
9850,MU5409,321,上海虹桥,成都,NA,NA,NA,执行日期0327-1029执行,7
9851,MU5410,321,成都,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9852,MU5414,321,成都,上海浦东,NA,NA,NA,执行日期0327-1029执行,7
9853,MU5418,321,成都,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9854,MU5423,321,上海虹桥,重庆,NA,NA,NA,执行日期0327-1029执行,7
9855,MU5427,321,上海虹桥,重庆,NA,NA,NA,执行日期0327-1029执行,3
9856,MU5427,321,上海虹桥,重庆,NA,NA,NA,执行日期0327-1029执行,4
9857,MU5428,321,重庆,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9858,MU5432,321,重庆,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9859,MU5434,321,重庆,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9860,MU5451,321,上海虹桥,贵阳,NA,NA,NA,执行日期0327-1029执行,2
9861,MU5452,321,贵阳,上海虹桥,NA,NA,NA,执行日期0327-1029执行,2
9862,MU5505,321,上海浦东,福州,昆明,NA,NA,执行日期0327-1029执行 或320/319执行,7
9863,MU5507,321,上海虹桥,福州,NA,NA,NA,执行日期0327-1029执行,7
9864,MU5539,321,上海虹桥,南宁,NA,NA,NA,执行日期0327-1029执行,7
9865,MU5540,321,南宁,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9866,MU5561,321,上海虹桥,厦门,NA,NA,NA,执行日期0327-1029执行,7
9867,MU5562,321,厦门,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9868,MU5587,321,上海浦东,福州,NA,NA,NA,执行日期0327-1029执行,2
9869,MU5588,321,昆明,福州,上海浦东,NA,NA,执行日期0327-1029执行 或320/319执行,7
9870,MU5589,321,上海虹桥,厦门,NA,NA,NA,执行日期0327-1029执行,7
9871,MU5590,321,厦门,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9872,MU5600,321,福州,上海浦东,NA,NA,NA,执行日期0327-1029执行,5
9873,MU5600,321,福州,上海浦东,NA,NA,NA,执行日期0327-1029执行,1
9874,MU5600,321,福州,上海浦东,NA,NA,NA,执行日期0327-1029执行,1
9875,MU5611,321,上海浦东,大连,哈尔滨,NA,NA,执行日期0327-1029执行 或320/319执行。和SU3916代号共享。,7
9876,MU5612,321,哈尔滨,大连,上海浦东,NA,NA,执行日期0327-1029执行 或320/319执行。和SU3923代号共享。,7
9877,MU5619,321,上海浦东,哈尔滨,NA,NA,NA,执行日期0327-1029执行。和SU3926代号共享。,7
9878,MU5620,321,哈尔滨,上海浦东,NA,NA,NA,执行日期0327-1029执行。和SU3917代号共享。,7
9879,MU5631,321,上海浦东,福州,NA,NA,NA,执行日期0327-1029执行,5
9880,MU5631,321,上海浦东,福州,NA,NA,NA,执行日期0327-1029执行,2
9881,MU5632,321,福州,上海浦东,NA,NA,NA,执行日期0327-1029执行,2
9882,MU5659,321,上海浦东,大连,NA,NA,NA,执行日期0327-1029执行。和SU3908代号共享。,2
9883,MU5660,321,大连,上海浦东,NA,NA,NA,执行日期0327-1029执行。和SU3907代号共享。,2
9884,MU5661,321,福州,上海浦东,大连,NA,NA,执行日期0327-1029执行,5
9885,MU5662,321,大连,上海浦东,福州,NA,NA,执行日期0327-1029执行 或320/319执行,5
9886,MU5673,321,上海浦东,大连,NA,NA,NA,执行日期0327-1029执行,7
9887,MU5674,321,大连,上海浦东,NA,NA,NA,执行日期0327-1029执行,1
9888,MU5674,321,大连,上海浦东,NA,NA,NA,执行日期0327-1029执行,1
9889,MU5674,321,大连,上海浦东,NA,NA,NA,执行日期0327-1029执行,5
9890,MU5679,321,北京首都,南昌,NA,NA,NA,执行日期0327-1029执行,3
9891,MU5679,321,北京首都,南昌,NA,NA,NA,执行日期0327-1029执行,1
9892,MU5680,321,南昌,北京首都,NA,NA,NA,执行日期0327-1029执行,4
9893,MU5685,321,北京首都,杭州,NA,NA,NA,执行日期0327-1029执行 或333/332/320/319执行,7
9894,MU5686,321,杭州,北京首都,NA,NA,NA,执行日期0327-1029执行 或333/332/320/319执行,7
9895,MU5689,321,上海虹桥,呼和浩特,NA,NA,NA,执行日期0327-1029执行,7
9896,MU5690,321,呼和浩特,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9897,MU5694,321,洛阳,北京首都,NA,NA,NA,执行日期0327-1029执行  或320/319执行,7
9898,MU5695,321,北京首都,洛阳,NA,NA,NA,执行日期0327-1029执行  或320/319执行,7
9899,MU5697,321,上海浦东,长春,NA,NA,NA,执行日期0327-1029执行,3
9900,MU5698,321,长春,上海浦东,NA,NA,NA,执行日期0327-1029执行,3
9901,MU5825,321,上海虹桥,天津,NA,NA,NA,执行日期0327-1029执行,7
9902,MU5826,321,天津,上海虹桥,NA,NA,NA,执行日期0327-1029执行,7
9903,MU9607/8,321,北京首都,洛阳,成都,洛阳,北京首都,NA,3
9904,3U8829,330,重庆,北京首都,NA,NA,NA,或320/321/319执行 与CZ9917代码共享,2
9905,3U8832,330,北京首都,重庆,NA,NA,NA,或320/321/319执行,2
9906,3U8882,330,北京首都,成都,NA,NA,NA,或320/321/319执行 与CZ9904代码共享,2
9907,3U8887,330,成都,北京首都,NA,NA,NA,或320/321/319执行 与CZ9909代码共享,2
9908,3U8889,330,成都,北京首都,NA,NA,NA,或320/321/319执行 与CZ9911代码共享,7
9909,3U8890,330,北京首都,成都,NA,NA,NA,或320/321/319执行 与CZ9912代码共享,7
9910,3U8891,330,成都,北京首都,NA,NA,NA,或320/321/319执行 与CZ9913代码共享,7
9911,3U8892,330,北京首都,成都,NA,NA,NA,或320/321/319执行 与CZ9914代码共享,7
9912,3U8961,330,成都,上海浦东,NA,NA,NA,或320/321/319执行,7
9913,3U8962,330,上海浦东,成都,NA,NA,NA,或320/321/319执行,7
9914,CA1207,330,北京首都,西宁,NA,NA,NA,NA,7
9915,CA1208,330,西宁,北京首都,NA,NA,NA,NA,7
9916,CA1291,330,北京首都,乌鲁木齐,NA,NA,NA,NA,7
9917,CA1292,330,乌鲁木齐,北京首都,NA,NA,NA,NA,7
9918,CA1405,330,北京首都,成都,NA,NA,NA,NA,7
9919,CA1407,330,北京首都,成都,NA,NA,NA,NA,7
9920,CA1415,330,北京首都,成都,NA,NA,NA,NA,3
9921,CA1415,330,北京首都,成都,NA,NA,NA,NA,4
9922,CA1416,330,成都,北京首都,NA,NA,NA,NA,7
9923,CA1431,330,北京首都,重庆,NA,NA,NA,NA,7
9924,CA1432,330,重庆,北京首都,NA,NA,NA,NA,7
9925,CA1531,330,北京首都,上海虹桥,NA,NA,NA,NA,4
9926,CA1539,330,北京首都,温州,NA,NA,NA,NA,7
9927,CA1540,330,温州,北京首都,NA,NA,NA,NA,7
9928,CA1550,330,上海虹桥,北京首都,NA,NA,NA,NA,7
9929,CA1601,330,北京首都,沈阳,NA,NA,NA,NA,7
9930,CA1602,330,沈阳,北京首都,NA,NA,NA,NA,7
9931,CA1609,330,北京首都,长春,NA,NA,NA,NA,7
9932,CA1610,330,长春,北京首都,NA,NA,NA,NA,7
9933,CA1621,330,北京首都,哈尔滨,NA,NA,NA,NA,7
9934,CA1622,330,哈尔滨,北京首都,NA,NA,NA,NA,2
9935,CA1622,330,哈尔滨,北京首都,NA,NA,NA,NA,5
9936,CA1835,330,北京首都,上海浦东,NA,NA,NA,NA,1
9937,CA1835,330,北京首都,上海浦东,NA,NA,NA,NA,4
9938,CA1836,330,上海浦东,北京首都,NA,NA,NA,NA,5
9939,CA1855,330,北京首都,上海虹桥,NA,NA,NA,NA,7
9940,CA1893,330,上海浦东,深圳,NA,NA,NA,NA,7
9941,CA1949,330,上海浦东,成都,NA,NA,NA,NA,7
9942,CA1950,330,成都,上海浦东,NA,NA,NA,NA,7
9943,CA4108,330,北京首都,成都,NA,NA,NA,NA,7
9944,CA4194,330,北京首都,成都,NA,NA,NA,NA,7
9945,CA4301,330,成都,广州,NA,NA,NA,与ZH4301代码共享,7
9946,CA4302,330,广州,成都,NA,NA,NA,与ZH4302代码共享,7
9947,CA4305,330,成都,广州,NA,NA,NA,与ZH4305代码共享,7
9948,CA4306,330,广州,成都,NA,NA,NA,与ZH4306代码共享,7
9949,CA4307,330,成都,广州,NA,NA,NA,与ZH4307代码共享,7
9950,CA4308,330,广州,成都,NA,NA,NA,与ZH4308代码共享,7
9951,CA4317,330,成都,广州,NA,NA,NA,与ZH4317代码共享,7
9952,CA4318,330,广州,成都,NA,NA,NA,与ZH4318代码共享,3
9953,CA4318,330,广州,成都,NA,NA,NA,与ZH4318代码共享,3
9954,CA4318,330,广州,成都,NA,NA,NA,与ZH4318代码共享,1
9955,CZ3259,330,北京首都,重庆,NA,NA,NA,与MF1137 3U3003 G55007代码共享 或333/321/320/319/738/737执行,7
