city1_2,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flag
秦皇岛青岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,7495
杭州牡丹江,NA,NA,NA,NA,NA,NA,NA,NA,NA,20277
安庆上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119
上海浦东安庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119
广州吉林,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137
吉林广州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137
珠海福州,NA,NA,NA,NA,NA,NA,NA,NA,NA,12379
福州珠海,NA,NA,NA,NA,NA,NA,NA,NA,NA,12379
迪庆重庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,12399
东营郑州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7532
郑州东营,NA,NA,NA,NA,NA,NA,NA,NA,NA,7532
敦煌大连,NA,NA,NA,NA,NA,NA,NA,NA,NA,7541
广州晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189
晋江广州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189
宜宾西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,12453
温州舟山,NA,NA,NA,NA,NA,NA,NA,NA,NA,7561
舟山温州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7561
重庆德宏,NA,NA,NA,NA,NA,NA,NA,NA,NA,12455
武夷山杭州,NA,NA,NA,NA,NA,NA,NA,NA,NA,12472
杭州武夷山,NA,NA,NA,NA,NA,NA,NA,NA,NA,12472
哈密上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,20348
武夷山连城,NA,NA,NA,NA,NA,NA,NA,NA,NA,7596
连城武夷山,NA,NA,NA,NA,NA,NA,NA,NA,NA,7596
合肥揭阳潮汕,NA,NA,NA,NA,NA,NA,NA,NA,NA,12516
海口吉林,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270
吉林海口,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270
哈尔滨扬州,NA,NA,NA,NA,NA,NA,NA,NA,NA,20390
南充成都,NA,NA,NA,NA,NA,NA,NA,NA,NA,7612
成都南充,NA,NA,NA,NA,NA,NA,NA,NA,NA,7612
威海济南,NA,NA,NA,NA,NA,NA,NA,NA,NA,7633
长春揭阳潮汕,NA,NA,NA,NA,NA,NA,NA,NA,NA,1310
揭阳潮汕长春,NA,NA,NA,NA,NA,NA,NA,NA,NA,1310
南京宜昌,NA,NA,NA,NA,NA,NA,NA,NA,NA,7642
西昌北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,7645
北京南苑西昌,NA,NA,NA,NA,NA,NA,NA,NA,NA,7645
白山北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,12571
潍坊沈阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,12577
沈阳潍坊,NA,NA,NA,NA,NA,NA,NA,NA,NA,12577
杭州晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365
晋江杭州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365
长治福州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7653
银川徐州,NA,NA,NA,NA,NA,NA,NA,NA,NA,20442
烟台厦门,NA,NA,NA,NA,NA,NA,NA,NA,NA,12619
深圳广元,NA,NA,NA,NA,NA,NA,NA,NA,NA,7660
广元深圳,NA,NA,NA,NA,NA,NA,NA,NA,NA,7660
天津南昌,NA,NA,NA,NA,NA,NA,NA,NA,NA,7671
福州宁波,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395
宁波福州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395
银川海口,NA,NA,NA,NA,NA,NA,NA,NA,NA,12649
海口银川,NA,NA,NA,NA,NA,NA,NA,NA,NA,12649
安庆温州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1404
温州安庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,1404
大连齐齐哈尔,NA,NA,NA,NA,NA,NA,NA,NA,NA,1409
齐齐哈尔大连,NA,NA,NA,NA,NA,NA,NA,NA,NA,1409
贵阳德宏,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423
德宏贵阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423
合肥晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433
晋江合肥,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433
泉州沈阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,20496
铜仁深圳,NA,NA,NA,NA,NA,NA,NA,NA,NA,17550
格尔木青岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442
青岛格尔木,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442
