"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"15010","吐鲁番上海虹桥","CZ6475/6","738","吐鲁番","上海虹桥",NA,NA,NA,"B73G/B752执行",3,NA
"15011","吐鲁番上海虹桥","CZ6475/6","738","吐鲁番","上海虹桥",NA,NA,NA,"B73G/B752执行",3,NA
"15013","万县北京首都","3U8837","320","万县","北京首都",NA,NA,NA,"或330/321/319执行 待航路走向批复后执行",3,NA
"15014","万县北京首都","3U8837","320","万县","北京首都",NA,NA,NA,"或330/321/319执行 待航路走向批复后执行",1,NA
"15015","万县北京首都","3U8837","320","万县","北京首都",NA,NA,NA,"或330/321/319执行 待航路走向批复后执行",3,NA
"15016","万县成都","3U8798","320","万县","成都",NA,NA,NA,NA,2,NA
"15017","万县广州","CA4335","737","万县","广州",NA,NA,NA,NA,7,NA
"15018","万县贵阳","GY7122","E90","万县","贵阳",NA,NA,NA,NA,7,NA
"15019","万县贵阳","GY7110","E90","万县","贵阳",NA,NA,NA,"待航路走向批复后执行",3,NA
"15020","万县海口","JD5786","319","万县","海口",NA,NA,NA,"或320/321/330执行",2,NA
"15021","万县海口","JD5786","319","万县","海口",NA,NA,NA,"或320/321/330执行",1,NA
"15022","万县昆明","3U8838","320","万县","昆明",NA,NA,NA,"或330/321/319执行 待航路走向批复后执行",1,NA
"15023","万县昆明","3U8838","319","万县","昆明",NA,NA,NA,"或330/321/320执行 待航路走向批复后执行",6,NA
"15024","万县南京","G52663","CR9","万县","南京",NA,NA,NA,NA,4,NA
"15025","万县南京","GY7109","E90","万县","南京",NA,NA,NA,"待航路走向批复后执行",3,NA
"15026","万县厦门","MF8234","738","万县","厦门",NA,NA,NA,"或B73G/752执行 与CZ5158/NS8234代码共享",4,NA
"15027","万县上海浦东","FM9462","73G","万县","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",3,NA
"15028","万县上海浦东","FM9462","73G","万县","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",2,NA
"15029","万县深圳","ZH9770","320","万县","深圳",NA,NA,NA,"或739/738/319执行;同CA3512 KY9770代码共享",7,NA
"15030","万县深圳","3U8797","320","万县","深圳",NA,NA,NA,NA,2,NA
"15031","万县天津","GY7121","E90","万县","天津",NA,NA,NA,NA,7,NA
"15032","万县西安","MF8233","738","万县","西安",NA,NA,NA,"或B73G/752执行 与CZ5157/NS8233代码共享",4,NA
"15033","万县重庆","G52664","CR9","万县","重庆",NA,NA,NA,NA,4,NA
"15053","威海满洲里","GS6411/2","320","威海","满洲里",NA,NA,NA,NA,3,NA
"15054","威海满洲里","GS6411/2","320","威海","满洲里",NA,NA,NA,NA,3,NA
"15148","温州揭阳","MU5553","320","温州","揭阳",NA,NA,NA,"执行日期0327-1029执行",1,NA
"15149","温州揭阳","MU5553","320","温州","揭阳",NA,NA,NA,"执行日期0327-1029执行",3,NA
"15150","温州揭阳","FM9571/2","737","温州","揭阳",NA,NA,NA,NA,3,NA
"15151","温州揭阳","FM9571/2","737","温州","揭阳",NA,NA,NA,NA,3,NA
