"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"50","阿勒泰乌鲁木齐","CZ6856","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4394代码共享",7,18896
"51","阿勒泰乌鲁木齐","CZ6858","73G","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0601-1029执行 或738/E90执行",3,18896
"52","阿勒泰乌鲁木齐","CZ6842","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4380代码共享",7,18896
"53","阿勒泰乌鲁木齐","GS7556","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或320/EM4执行",1,18896
"54","阿勒泰乌鲁木齐","CZ6858","73G","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0601-1029执行 或738/E90执行",1,18896
"55","阿勒泰乌鲁木齐","CZ6858","73G","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0601-1029执行 或738/E90执行",1,18896
"56","阿勒泰乌鲁木齐","CZ6857/8","737","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期7.1-9.30",1,18896
"57","阿勒泰乌鲁木齐","CZ6844","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4382代码共享",1,18896
"58","阿勒泰乌鲁木齐","CZ6844","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0701-1029执行 或738/73G执行 与MF4382代码共享",3,18896
"59","阿勒泰乌鲁木齐","CZ6844","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4382代码共享",3,18896
"60","阿勒泰乌鲁木齐","GS7558","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或320/EM4执行",7,18896
"61","阿勒泰乌鲁木齐","GS7463/4","EMB","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期：6.11-8.31；9.1-10.6",7,18896
"62","阿勒泰乌鲁木齐","GS7556","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或320/EM4执行",6,18896
"63","阿勒泰乌鲁木齐","CZ6858","73G","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0601-1029执行 或738/E90执行",1,18896
"64","阿里喀什","MU2132","320","阿里","喀什",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,9074
"65","阿里拉萨","TV9918","319","阿里","拉萨",NA,NA,NA,NA,7,10094
"66","阿里拉萨","TV9808","319","阿里","拉萨",NA,NA,NA,NA,7,10094
"67","安庆北京首都","HU7681","738","安庆","北京首都",NA,NA,NA,"待航路走向批复后执行",7,4303
"68","安庆大连","GX8877","E90","安庆","大连",NA,NA,NA,"或A320执行；与GS8877/HU8877代码共享；执行日期0701-1029执行；待航路走向批复后执行",7,NA
"69","安庆广州","CZ3586","319","安庆","广州",NA,NA,NA,"与MF1414 MU3309代码共享",4,8965
"70","安庆海口","HU7682","738","安庆","海口",NA,NA,NA,"待航路走向批复后执行",7,24263
"71","安庆昆明","8L9960","73G","安庆","昆明",NA,NA,NA,"或738/319/320执行。待航路走向批复后执行。",3,21654
"72","安庆南宁","GX8878","E90","安庆","南宁",NA,NA,NA,"或A320执行；与GS8878/HU8878代码共享；执行日期0701-1029执行；待航路走向批复后执行",7,NA
"73","安庆宁波","8L9959","73G","安庆","宁波",NA,NA,NA,"或738/319/320执行。待航路走向批复后执行。",3,21655
"74","安庆厦门","GS7633","E90","安庆","厦门",NA,NA,NA,"或320/EM4执行 待航路走向批复后执行",4,9642
"75","安庆上海虹桥","MU2220","320","安庆","上海虹桥",NA,NA,NA,"执行日期0327-1029执行",5,1119
"76","安庆上海虹桥","MU2220","320","安庆","上海虹桥",NA,NA,NA,"执行日期0327-1029执行",2,1119
"77","安庆西安","GS7634","E90","安庆","西安",NA,NA,NA,"或320/EM4执行 待航路走向批复后执行",4,24261
"78","安顺北京南苑","KN5226","738","安顺","北京南苑",NA,NA,NA,"待航线走向批复后执行",7,21664
"79","安顺桂林","GS7601/2","E90","安顺","桂林",NA,NA,NA,NA,4,23873
"80","安顺桂林","GS7601/2","E90","安顺","桂林",NA,NA,NA,NA,4,23873
"81","安顺杭州","GJ8880","320","安顺","杭州",NA,NA,NA,"待航线走向批复后执行",3,21662
"82","安顺杭州","GJ8870","320","安顺","杭州",NA,NA,NA,"待航线走向批复后执行",4,21662
"83","安顺昆明","MU5838","738","安顺","昆明",NA,NA,NA,"执行日期0327-1029执行 或73G执行 待航路走向批复后执行",3,11520
"84","安顺丽江","GJ8869","320","安顺","丽江",NA,NA,NA,"待航线走向批复后执行",4,21663
"85","安顺三亚","G52825","CR9","安顺","三亚",NA,NA,NA,"待航线走向批复后执行",3,21666
"86","安顺上海虹桥","MU5837","738","安顺","上海虹桥",NA,NA,NA,"执行日期0327-1029执行 或73G执行 待航路走向批复后执行",3,24270
"87","安顺西双版纳","GJ8879","320","安顺","西双版纳",NA,NA,NA,"待航线走向批复后执行",3,NA
"88","安顺重庆","G52826","CR9","安顺","重庆",NA,NA,NA,"待航线走向批复后执行",3,21340
"89","鞍山北京首都","CZ6113","320","鞍山","北京首都",NA,NA,NA,"与MF1790 MU3555代码共享 或321/319执行 待航线走向批复后执行",7,59
"90","鞍山广州","CZ6564","319","鞍山","广州",NA,NA,NA,"与MF4170代码共享 或321/320/738/737/E90执行 待航线走向批复后执行",4,21648
"91","鞍山上海浦东","FM9198","73G","鞍山","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行 待航路走向批复后执行",7,12518
"92","巴彦淖尔北京南苑","KN2968","738","巴彦淖尔","北京南苑",NA,NA,NA,"待航线走向批复后执行",7,8203
"93","巴彦淖尔北京首都","CA1148","738","巴彦淖尔","北京首都",NA,NA,NA,"待航线走向批复后执行",7,8203
"94","巴彦淖尔呼和浩特","GS6646","E90","巴彦淖尔","呼和浩特",NA,NA,NA,"或320/EM4执行 待航路走向批复后执行",7,10910
"95","巴彦淖尔呼和浩特","GS6648","EMB","巴彦淖尔","呼和浩特",NA,NA,NA,"或320/E90执行 待航路走向批复后执行",7,10910
"96","巴彦淖尔呼和浩特","GS6652","EMB","巴彦淖尔","呼和浩特",NA,NA,NA,"或320/E90执行 待航路走向批复后执行",7,10910
"97","巴彦淖尔西安","GS6645","E90","巴彦淖尔","西安",NA,NA,NA,"或320/EM4执行 待航路走向批复后执行",7,23299
"98","白山白山","CZ3683/4","321","白山","白山",NA,NA,NA,NA,7,NA
"99","白山北京首都","CZ8612/1","321","白山","北京首都",NA,NA,NA,"或A320执行",7,12571
"100","白山北京首都","CZ8612/1","321","白山","北京首都",NA,NA,NA,NA,4,12571
"101","白山北京首都","CZ3683/4","321","白山","北京首都","白山",NA,NA,NA,7,12571
"102","白山大连","9C8908","320","白山","大连","深圳",NA,NA,"执行日期0410-1029执行 待航线走向批复后执行",7,8578
"103","白山广州","CZ6315","320","白山","广州",NA,NA,NA,"与MF1958 MU4791代码共享 或321/319执行 待航线走向批复后执行",7,24417
"104","白山哈尔滨","BK2734","MA6","白山","哈尔滨",NA,NA,NA,"待航路走向批复后执行",7,18768
"105","白山青岛","MU9637/8","320","白山","青岛",NA,NA,NA,NA,6,11469
"106","白山上海浦东","9C8532","320","白山","上海浦东",NA,NA,NA,"执行日期0601-1029执行",1,9140
"107","白山上海浦东","9C8842","320","白山","上海浦东",NA,NA,NA,"执行日期0601-1029执行",4,9140
"108","白山上海浦东","9C8532","320","白山","上海浦东",NA,NA,NA,"执行日期0601-1029执行",3,9140
"109","白山上海浦东","9C8532","320","白山","上海浦东",NA,NA,NA,"执行日期0601-1029执行",1,9140
"110","白山上海浦东","HO1136","320","白山","上海浦东",NA,NA,NA,NA,7,9140
"111","白山上海浦东","9C8841/2","320","白山","上海浦东",NA,NA,NA,NA,2,9140
"112","白山上海浦东","9C8532","320","白山","上海浦东",NA,NA,NA,"执行日期0601-1029执行",1,9140
"113","白山上海浦东","CZ6155","319","白山","上海浦东",NA,NA,NA,"或320/321执行 与MF1830 MU4759代码共享 待航路走向批复后执行",2,9140
"114","白山上海浦东","9C8842","320","白山","上海浦东",NA,NA,NA,"执行日期0601-1029执行",1,9140
"115","白山上海浦东","9C8532","320","白山","上海浦东",NA,NA,NA,"执行日期0601-1029执行",1,9140
"116","白山上海浦东","CZ6155","319","白山","上海浦东",NA,NA,NA,"或320/321执行 与MF1830 MU4759代码共享 待航路走向批复后执行",5,9140
"117","白山深圳","9C8908","320","白山","深圳",NA,NA,NA,"执行日期0410-1029执行 待航线走向批复后执行",7,20881
"118","白山沈阳","CZ6315","320","白山","沈阳","广州",NA,NA,"与MF1958 MU4791代码共享 或321/319执行 待航线走向批复后执行",7,18662
"119","白山天津","9C8690","320","白山","天津",NA,NA,NA,NA,7,12697
"120","白山天津","HO1136","320","白山","天津","上海浦东",NA,NA,NA,7,12697
"121","白山烟台","MU9627/8","320","白山","烟台",NA,NA,NA,NA,2,25575
