flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,city1_2
JD5275,319,南京,石家庄,呼和浩特,NA,NA,或320/321/330执行待航线走向批复后执行,7,南京石家庄
JD5276,319,呼和浩特,石家庄,南京,NA,NA,或320/321/330执行待航线走向批复后执行,7,呼和浩特石家庄
JD5339,319,厦门,武汉,呼和浩特,NA,NA,或320/321/330执行,7,厦门武汉
JD5340,319,呼和浩特,武汉,厦门,NA,NA,或320/321/330执行,7,呼和浩特武汉
JD5367,319,海口,宜昌,呼和浩特,NA,NA,或320/321/330执行待航线走向批复后执行,3,海口宜昌
JD5368,319,呼和浩特,宜昌,海口,NA,NA,或320/321/330执行待航线走向批复后执行,3,呼和浩特宜昌
JD5399,319,包头,郑州,三亚,NA,NA,或320/321/330执行,7,包头郑州
JD5400,319,三亚,郑州,包头,NA,NA,或320/321/330执行,4,三亚郑州
JD5400,319,三亚,郑州,包头,NA,NA,或320/321/330执行,3,三亚郑州
JD5601,319,呼和浩特,南昌,海口,NA,NA,或320/321/330执行,2,呼和浩特南昌
JD5601,319,呼和浩特,南昌,海口,NA,NA,或320/321/330执行,2,呼和浩特南昌
JD5602,319,海口,南昌,呼和浩特,NA,NA,或320/321/330执行,4,海口南昌
JD5633,319,杭州,郑州,呼和浩特,NA,NA,或320/321/330执行,4,杭州郑州
JD5633,319,杭州,郑州,呼和浩特,NA,NA,或320/321/330执行,3,杭州郑州
JD5634,319,呼和浩特,郑州,杭州,NA,NA,或320/321/330执行,4,呼和浩特郑州
JD5634,319,呼和浩特,郑州,杭州,NA,NA,或320/321/330执行,1,呼和浩特郑州
JD5634,319,呼和浩特,郑州,杭州,NA,NA,或320/321/330执行,2,呼和浩特郑州
JD5643,319,桂林,郑州,呼和浩特,NA,NA,或320/321/330执行,4,桂林郑州
JD5644,319,呼和浩特,郑州,桂林,NA,NA,或320/321/330执行,4,呼和浩特郑州
9C8665,320,石家庄,淮安,温州,NA,NA,NA,7,石家庄淮安
9C8666,320,温州,淮安,石家庄,NA,NA,NA,7,温州淮安
9C8681,320,石家庄,南昌,揭阳,NA,NA,NA,7,石家庄南昌
9C8682,320,揭阳,南昌,石家庄,NA,NA,NA,7,揭阳南昌
GS6509,320,天津,武汉,三亚,NA,NA,或333/332/E90执行,7,天津武汉
GS6510,320,三亚,武汉,天津,NA,NA,或333/332/E90执行,7,三亚武汉
GS6579,320,海口,长沙,天津,NA,NA,或333/332/E90执行,6,海口长沙
GS6579,320,海口,长沙,天津,NA,NA,或E90/EM4执行,1,海口长沙
GS6580,320,天津,长沙,海口,NA,NA,或333/332/E90执行,7,天津长沙
GS6669,320,济南,呼和浩特,海拉尔,NA,NA,NA,7,济南呼和浩特
GS6670,320,海拉尔,呼和浩特,济南,NA,NA,NA,7,海拉尔呼和浩特
GS7497,320,乌鲁木齐,西安,天津,NA,NA,或333/332/E90/EM4执行,1,乌鲁木齐西安
GS7497,320,乌鲁木齐,西安,天津,NA,NA,或333/332/E90/EM4执行,6,乌鲁木齐西安
GS7498,320,天津,西安,乌鲁木齐,NA,NA,或333/332/E90/EM4执行,1,天津西安
GS7498,320,天津,西安,乌鲁木齐,NA,NA,或333/332/E90/EM4执行,6,天津西安
GS7655,320,西安,呼和浩特,海拉尔,NA,NA,或333/332/E90执行,7,西安呼和浩特
GS7656,320,海拉尔,呼和浩特,西安,NA,NA,或333/332/E90执行,7,海拉尔呼和浩特
GS7815,320,天津,青岛,温州,NA,NA,或333/332/E90执行,7,天津青岛
GS7816,320,温州,青岛,天津,NA,NA,或333/332/E90执行,7,温州青岛
GS7839,320,天津,乌鲁木齐,和田,NA,NA,NA,7,天津乌鲁木齐
GS7840,320,和田,乌鲁木齐,天津,NA,NA,NA,7,和田乌鲁木齐
GS7857,320,天津,西安,昆明,NA,NA,或333/332/E90执行,4,天津西安
GS7858,320,昆明,西安,天津,NA,NA,或333/332/E90执行,4,昆明西安
GS7859,320,天津,武汉,三亚,NA,NA,或333/332/E90执行,1,天津武汉
GS7859,320,天津,武汉,三亚,NA,NA,或333/332/E90执行,6,天津武汉
GS7860,320,三亚,武汉,天津,NA,NA,或333/332/E90执行,7,三亚武汉
GS7901,320,天津,西安,贵阳,NA,NA,或333/332/E90执行,3,天津西安
GS7902,320,贵阳,西安,天津,NA,NA,或333/332/E90执行,3,贵阳西安
GS7930,320,贵阳,西安,天津,NA,NA,或333/332/E90执行,7,贵阳西安
BK2811,737,天津,长沙,昆明,NA,NA,NA,4,天津长沙
BK2812,737,昆明,长沙,天津,NA,NA,NA,4,昆明长沙
BK2823,737,天津,西安,南宁,NA,NA,NA,7,天津西安
BK2824,737,南宁,西安,天津,NA,NA,NA,7,南宁西安
BK2835,737,天津,宁波,三亚,NA,NA,NA,4,天津宁波
BK2836,737,三亚,宁波,天津,NA,NA,NA,4,三亚宁波
BK2859,737,天津,深圳,百色,NA,NA,待航路走向批复后执行,2,天津深圳
BK2860,737,百色,深圳,天津,NA,NA,待航路走向批复后执行,2,百色深圳
BK2931,737,天津,长沙,湛江,NA,NA,NA,4,天津长沙
BK2931,737,天津,长沙,湛江,NA,NA,NA,3,天津长沙
BK2932,737,湛江,长沙,天津,NA,NA,NA,4,湛江长沙
BK2932,737,湛江,长沙,天津,NA,NA,NA,3,湛江长沙
BK2945,737,天津,深圳,海口,NA,NA,NA,3,天津深圳
BK2946,737,海口,深圳,天津,NA,NA,NA,3,海口深圳
BK2965,737,天津,西宁,乌鲁木齐,NA,NA,执行日期0327-0630执行,1,天津西宁
BK2965,737,天津,西宁,乌鲁木齐,NA,NA,执行日期0327-0630执行,3,天津西宁
BK2966,737,乌鲁木齐,西宁,天津,NA,NA,执行日期0327-0630执行,3,乌鲁木齐西宁
BK2966,737,乌鲁木齐,西宁,天津,NA,NA,执行日期0327-0630执行,1,乌鲁木齐西宁
BK3001,737,天津,南京,桂林,NA,NA,NA,3,天津南京
BK3002,737,桂林,南京,天津,NA,NA,NA,3,桂林南京
BK3017,737,天津,淮安,昆明,NA,NA,待航路走向批复后执行,3,天津淮安
BK3018,737,昆明,淮安,天津,NA,NA,待航路走向批复后执行,3,昆明淮安
BK3029,737,天津,张家界,南宁,NA,NA,待航路走向批复后执行,4,天津张家界
BK3030,737,南宁,张家界,天津,NA,NA,待航路走向批复后执行,4,南宁张家界
BK3035,737,天津,南通,三亚,NA,NA,待航路走向批复后执行,3,天津南通
BK3036,737,三亚,南通,天津,NA,NA,待航路走向批复后执行,3,三亚南通
CA1481,737,天津,运城,昆明,NA,NA,待航线走向批复后执行 或738执行,2,天津运城
CA1482,737,昆明,运城,天津,NA,NA,待航线走向批复后执行 或738执行,2,昆明运城
CA1211/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,6,北京首都呼和浩特
CA1265,738,天津,呼和浩特,乌鲁木齐,NA,NA,或73G执行,7,天津呼和浩特
CA1266,738,乌鲁木齐,呼和浩特,天津,NA,NA,或73G执行,7,乌鲁木齐呼和浩特
CA1633/4,738,北京首都,呼和浩特,北京首都,NA,NA,NA,3,北京首都呼和浩特
HU7295,738,太原,合肥,厦门,NA,NA,NA,4,太原合肥
HU7296,738,厦门,合肥,太原,NA,NA,NA,4,厦门合肥
HU7333,738,太原,长沙,福州,NA,NA,NA,7,太原长沙
HU7334,738,福州,长沙,太原,NA,NA,NA,7,福州长沙
HU7355,738,太原,长治,厦门,NA,NA,待航路走向批复后执行,3,太原长治
HU7356,738,厦门,长治,太原,NA,NA,待航路走向批复后执行,3,厦门长治
HU7657/8,738,北京首都,呼和浩特,北京首都,NA,NA,NA,7,北京首都呼和浩特
KN2287,738,北京南苑,乌兰浩特,海拉尔,NA,NA,待航线走向批复后执行,4,北京南苑乌兰浩特
KN2287,738,北京南苑,乌兰浩特,海拉尔,NA,NA,待航线走向批复后执行,3,北京南苑乌兰浩特
KN2288,738,海拉尔,乌兰浩特,北京南苑,NA,NA,待航线走向批复后执行,4,海拉尔乌兰浩特
KN2288,738,海拉尔,乌兰浩特,北京南苑,NA,NA,待航线走向批复后执行,3,海拉尔乌兰浩特
MF8139,738,天津,厦门,海口,NA,NA,或B73G/752执行 与CZ5085/NS8139代码共享,7,天津厦门
MF8140,738,海口,厦门,天津,NA,NA,或B73G/752执行 与CZ5086/NS8140代码共享,7,海口厦门
MF8331,738,天津,福州,南宁,NA,NA,或B73G/752执行 与CZ5235/NS8331代码共享,7,天津福州
MF8332,738,南宁,福州,天津,NA,NA,或B73G/752执行 与CZ5236/NS8332代码共享,7,南宁福州
MF8457,738,天津,杭州,贵阳,NA,NA,或B73G/752执行 与CZ5357/NS8457代码共享,7,天津杭州
MF8458,738,贵阳,杭州,天津,NA,NA,或B73G/752执行 与CZ5358/NS8458代码共享,2,贵阳杭州
MF8458,738,贵阳,杭州,天津,NA,NA,或B73G/752执行 与CZ5358/NS8458代码共享,1,贵阳杭州
MF8458,738,贵阳,杭州,天津,NA,NA,或B73G/752执行 与CZ5358/NS8458代码共享,4,贵阳杭州
MF8459,738,天津,西安,重庆,NA,NA,或B73G/752执行 与CZ5359/NS8459代码共享,7,天津西安
MF8460,738,重庆,西安,天津,NA,NA,或B73G/752执行 与CZ5360/NS8460代码共享,7,重庆西安
MU2437,738,太原,武汉,厦门,NA,NA,执行日期0327-1029执行,7,太原武汉
MU2438,738,厦门,武汉,太原,NA,NA,执行日期0327-1029执行,7,厦门武汉
MU5399,738,太原,武汉,福州,NA,NA,执行日期0327-1029执行,4,太原武汉
MU5400,738,福州,武汉,太原,NA,NA,执行日期0327-1029执行,4,福州武汉
MU5681,738,太原,长沙,海口,NA,NA,执行日期0411-1029执行；执行日期4.11-10.29执行,7,太原长沙
MU5682,738,海口,长沙,太原,NA,NA,执行日期0411-1029执行；执行日期4.11-10.29执行,7,海口长沙
NS3225,738,石家庄,南京,厦门,NA,NA,或73G/E90执行;同MF7023、CZ9871代码共享,7,石家庄南京
NS3226,738,厦门,南京,石家庄,NA,NA,或73G/E90执行;同MF7024、CZ9872代码共享,7,厦门南京
NS3241,738,石家庄,重庆,南宁,NA,NA,或73G/E90执行;同MF7031、CZ9873代码共享,7,石家庄重庆
NS3242,738,南宁,重庆,石家庄,NA,NA,或73G/E90执行;同MF7032、CZ9874代码共享,7,南宁重庆
NS3243,738,石家庄,南京,福州,NA,NA,或73G/E90执行;同MF7033代码共享,7,石家庄南京
NS3244,738,福州,南京,石家庄,NA,NA,或73G/E90执行;同MF7034代码共享,7,福州南京
NS3245,738,石家庄,呼和浩特,满洲里,NA,NA,NA,4,石家庄呼和浩特
NS3245,738,石家庄,呼和浩特,满洲里,NA,NA,NA,4,石家庄呼和浩特
NS3246,738,满洲里,呼和浩特,石家庄,NA,NA,NA,4,满洲里呼和浩特
NS3246,738,满洲里,呼和浩特,石家庄,NA,NA,NA,4,满洲里呼和浩特
NS3299,738,石家庄,长沙,海口,NA,NA,或73G/E90执行;同MF7063、CZ9885代码共享,7,石家庄长沙
NS3300,738,海口,长沙,石家庄,NA,NA,或73G/E90执行;同MF7064、CZ9886代码共享,7,海口长沙
NS3301,738,石家庄,桂林,三亚,NA,NA,或73G/E90执行;同MF7065、CZ9879代码共享;待航线走向批复后执行,3,石家庄桂林
NS3301,738,石家庄,桂林,三亚,NA,NA,或73G/E90执行;同MF7065、CZ9879代码共享;待航线走向批复后执行,4,石家庄桂林
