hsp.hsp,mv10.mv10,mv20.mv20,vol10.vol10,vol20.vol20,rsi5.rsi5,rsi14.rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction
1028.96,1022.379,1030.5455,13.78503734,15.80958453,80.07943782,44.06504065,-0.318229227,0.48552716,-1.514433722,-1.125739038,999.7269462,1030.5455,1061.364054,0.474276859,-1
1027.62,1021.274,1030.9205,12.73711305,15.63728893,89.94509266,38.84686158,-0.503209865,0.299624919,-1.374963997,-1.308848689,1000.437812,1030.9205,1061.403188,0.445862714,-1
1024.02,1019.508,1031.103,10.64609767,15.52859674,76.82753726,38.06852334,-0.783106754,0.088964916,-1.188061994,-1.345154407,1000.832192,1031.103,1061.373808,0.383006095,2
1037.66,1019.387,1031.904,10.4057474,15.4276288,78.83992223,42.91254964,-0.810954991,-0.109971067,-0.803480058,-1.263746035,1001.830015,1031.904,1061.977985,0.595697328,1
1040.76,1021.966,1032.001,12.22610613,15.47941312,84.73895582,42.64241974,-0.852225134,-0.295708607,-0.37177428,-1.05054281,1001.826069,1032.001,1062.175931,0.645137033,1
1047.67,1025.806,1032.49,13.73297022,15.8258403,82.7212312,54.65164358,-0.814936844,-0.442915532,-0.034175357,-0.754491137,1001.639758,1032.49,1063.340242,0.746027242,1
1048.54,1030.226,1032.8485,13.15730401,16.11613258,87.19772404,53.62579281,-0.569340743,-0.532719832,0.349802374,-0.409537863,1001.432374,1032.8485,1064.264626,0.749736394,-1
1042.6,1033.596,1032.5065,11.26834524,15.81528151,80.4990151,51.90831884,-0.383698081,-0.578331942,0.571763955,-0.057572673,1001.676841,1032.5065,1063.336159,0.663697884,1
1050.71,1036.681,1032.65,11.31282208,15.97395709,76.1732852,71.80864047,-0.12246808,-0.573129969,0.877216039,0.278566546,1001.511025,1032.65,1063.788975,0.789990278,1
1055.98,1040.452,1032.7985,10.76569428,16.18559635,78.08118081,78.65292602,0.129009662,-0.523436759,1.304783626,0.613878127,1001.246964,1032.7985,1064.350036,0.867359297,1
1065.29,1044.085,1033.232,12.45424894,16.95500597,79.86440678,85.48142974,0.3958941,-0.423536318,1.644299496,0.949573098,1000.180609,1033.232,1066.283391,0.984972021,-1
1055.63,1046.886,1034.08,11.44896715,17.65113505,59.25829198,75.67864601,0.630005445,-0.266523852,1.766373422,1.232887308,999.6716034,1034.08,1068.488397,0.813150308,1
1061.09,1050.593,1035.0505,8.951665332,18.59913905,74.45120339,74.11393145,0.814421722,-0.085926439,1.856175824,1.489769681,998.7941033,1035.0505,1071.306897,0.85910215,2
1079.32,1054.759,1037.073,11.57398083,21.07133426,79.84560818,79.88837756,1.117526552,0.132934859,2.081531387,1.730632751,995.9974077,1037.073,1078.148592,1.01425917,1
1089.37,1059.62,1040.793,14.79965991,23.40230198,81.67330677,79.76155286,1.485592833,0.388549268,2.358627371,1.9414015,995.1735151,1040.793,1086.412485,1.032415042,1
1099.97,1064.85,1045.328,18.80620583,25.65210602,82.11111111,82.66365688,1.807828881,0.652679226,2.587759194,2.13009344,995.3228396,1045.328,1095.33316,1.046363611,1
1103.24,1070.32,1050.273,21.32194331,26.83997747,100,85.87212462,2.131585673,0.932155199,2.747571346,2.326333024,997.9522519,1050.273,1102.593748,1.006175866,-1
1103.15,1076.375,1054.9855,21.17232903,27.46040431,99.78693182,83.803035,2.331279771,1.204793849,2.801277499,2.515353359,1001.455317,1054.9855,1108.515683,0.949881708,2
1117.91,1083.095,1059.888,22.72856169,29.53357066,99.76786175,85.54316779,2.596153412,1.478920932,3.165213144,2.732089711,1002.316472,1059.888,1117.459528,1.003912282,1
