date,op,cp
2011-10-14,2655.36,2653.78
2011-10-17,2658.95,2666.95
2011-10-18,2646.84,2592.21
2011-10-19,2599.92,2583.08
2011-10-20,2566.6,2520.53
2011-10-21,2522.26,2507.88
2011-10-24,2517.06,2576.67
2011-10-25,2572.71,2625.43
2011-10-26,2613.27,2651.65
2011-10-27,2658.43,2657.48
2011-10-28,2694.54,2709.02
2011-10-31,2704.54,2695.31
2011-11-01,2672.51,2697.53
2011-11-02,2658.55,2742.39
2011-11-03,2752.63,2744.3
2011-11-04,2770.57,2763.75
2011-11-07,2750.99,2736.25
2011-11-08,2745.06,2727.71
2011-11-09,2739.15,2751.65
2011-11-10,2720.84,2699.59
2011-11-11,2705.24,2695
2011-11-14,2717.54,2750.2
2011-11-15,2746.77,2744.68
2011-11-16,2745.86,2670.12
2011-11-17,2671.95,2662.02
2011-11-18,2643.67,2606.5
2011-11-21,2608.56,2609.69
2011-11-22,2592.23,2609.48
2011-11-23,2613.29,2584.01
2011-11-24,2565.69,2588.92
2011-11-25,2585.14,2569.97
2011-11-28,2578.34,2573.32
2011-11-29,2595.09,2608.57
2011-11-30,2600.1,2521.52
2011-12-01,2596.15,2583.61
2011-12-02,2570.56,2557.31
2011-12-05,2561.2,2521.39
2011-12-06,2515.04,2516.34
2011-12-07,2517.34,2528.23
2011-12-08,2525.04,2525
2011-12-09,2506.62,2503.46
2011-12-12,2497.92,2477.69
2011-12-13,2467.02,2421.93
2011-12-14,2415.94,2397.48
2011-12-15,2382.44,2340.79
2011-12-16,2339.98,2390.13
2011-12-19,2370.42,2384.41
2011-12-20,2376.71,2377.07
2011-12-21,2397.27,2339.11
2011-12-22,2325.27,2341.34
2011-12-23,2337.38,2359.16
2011-12-26,2345.56,2335.7
2011-12-27,2332.83,2305.03
2011-12-28,2295.87,2307.93
2011-12-29,2297.29,2311.36
2011-12-30,2318.67,2345.74
2012-01-04,2361.5,2298.75
2012-01-05,2290.78,2276.39
2012-01-06,2274.35,2290.6
2012-01-09,2291.18,2368.57
2012-01-10,2365.77,2447.35
2012-01-11,2444.76,2435.61
2012-01-12,2426.82,2435.22
2012-01-13,2438.41,2394.33
2012-01-16,2376.95,2345.65
2012-01-17,2347.57,2460.6
2012-01-18,2464.92,2422.19
2012-01-19,2423.86,2468.35
2012-01-20,2476.73,2504.09
2012-01-30,2508.88,2460.72
2012-01-31,2462.34,2464.26
2012-02-01,2458.23,2428.99
2012-02-02,2437.47,2486.24
2012-02-03,2478.34,2506.09
2012-02-06,2511.17,2504.32
2012-02-07,2489.03,2457.95
2012-02-08,2456.42,2528.24
2012-02-09,2525.59,2529.23
2012-02-10,2521.68,2533.62
2012-02-13,2504.41,2531.98
2012-02-14,2528.97,2522.11
2012-02-15,2515.83,2549.61
2012-02-16,2544.64,2536.07
2012-02-17,2551.82,2537.09
2012-02-20,2571.91,2540.71
2012-02-21,2544.84,2562.45
2012-02-22,2564.32,2597.48
2012-02-23,2595.78,2606.26
2012-02-24,2607.34,2648.02
2012-02-27,2658.12,2656.57
2012-02-28,2652.34,2662.46
2012-02-29,2655.86,2634.14
2012-03-01,2622.74,2633.35
2012-03-02,2637.96,2679.93
2012-03-05,2687.74,2662.7
2012-03-06,2654.8,2621.05
2012-03-07,2596.48,2603
2012-03-08,2612.4,2635.79
2012-03-09,2644.1,2664.3
2012-03-12,2663.24,2654.4
2012-03-13,2653.68,2681.07
2012-03-14,2694.48,2605.11
2012-03-15,2602.66,2585.55
2012-03-16,2591.8,2623.52
2012-03-19,2617.66,2630.01
2012-03-20,2622.66,2584.45
2012-03-21,2597.38,2587.79
