"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"20061005","TotalAssets","847,862","37,202","324,883","36,954","35,946","75,077","77,218","66,107","25,051","16,464","25,870","34,133","92,955"
"20061102","TotalAssets","861,204","37,648","326,391","37,588","35,038","78,652","77,041","68,985","25,690","17,259","26,901","34,666","95,344"
"20061207","TotalAssets","867,977","39,009","323,225","37,580","34,692","77,624","78,371","70,383","26,270","16,857","27,612","39,061","97,294"
"20070104","TotalAssets","879,784","39,679","319,636","37,785","34,878","76,831","81,391","72,834","28,243","17,440","29,552","40,822","100,692"
"20070201","TotalAssets","870,388","39,067","315,294","36,877","34,043","77,540","81,705","74,393","27,971","18,036","28,840","39,880","96,742"
"20070301","TotalAssets","882,062","38,832","317,904","37,728","34,411","76,744","86,414","74,732","27,998","17,937","29,285","40,941","99,137"
"20070405","TotalAssets","867,072","37,721","306,978","38,387","33,369","76,596","86,862","74,056","28,070","16,993","29,299","40,413","98,328"
"20070503","TotalAssets","896,130","37,738","329,571","38,636","32,807","81,533","87,161","74,335","28,111","16,921","29,752","40,304","99,260"
"20070607","TotalAssets","877,657","36,963","315,972","39,506","32,969","80,283","85,947","73,441","27,869","17,047","29,517","39,633","98,511"
"20070705","TotalAssets","882,396","36,644","314,556","41,165","34,476","81,496","87,549","74,252","27,923","16,904","29,588","38,106","99,738"
"20070802","TotalAssets","874,893","35,731","319,269","39,941","34,480","80,073","86,582","72,609","27,624","16,273","28,983","35,684","97,644"
"20070906","TotalAssets","876,791","35,858","316,757","40,575","34,958","82,918","86,108","72,791","27,674","16,327","29,270","35,919","97,637"
"20071004","TotalAssets","873,589","35,217","323,315","39,064","34,529","82,118","84,220","72,007","27,339","16,101","28,718","34,921","96,040"
"20071101","TotalAssets","887,589","36,642","330,466","39,789","35,226","84,186","82,099","72,972","30,230","16,351","29,072","34,915","95,639"
"20071206","TotalAssets","886,865","37,485","321,583","40,125","36,769","85,221","78,309","74,445","31,154","17,792","32,244","35,778","95,958"
"20080103","TotalAssets","926,573","40,281","327,749","44,941","39,149","90,404","81,301","82,716","31,846","19,830","33,124","36,563","98,668"
"20080207","TotalAssets","873,873","37,127","310,882","39,875","36,130","81,381","81,617","78,205","30,782","18,172","32,030","35,255","92,419"
"20080306","TotalAssets","884,316","37,631","315,351","39,990","36,788","80,988","86,252","77,944","30,462","18,131","32,074","35,762","92,944"
"20080403","Totalassets","885,991","37,431","316,184","40,269","36,800","80,641","89,603","77,931","29,992","18,359","31,602","34,659","92,520"
"20080501","TotalAssets","889,630","37,265","317,593","39,974","36,645","84,531","90,346","78,062","29,442","18,331","31,273","34,544","91,624"
"20080605","Totalassets","897,545","37,164","317,503","41,736","37,603","85,020","96,145","79,218","29,277","17,387","30,829","35,472","90,190"
"20080703","20080703","20080703","20080703","20080703","20080703","20080703","20080703","20080703","20080703","20080703","20080703","20080703","20080703","20080703"
"20080807","20080807","20080807","20080807","20080807","20080807","20080807","20080807","20080807","20080807","20080807","20080807","20080807","20080807","20080807"
"20080904","20080904","20080904","20080904","20080904","20080904","20080904","20080904","20080904","20080904","20080904","20080904","20080904","20080904","20080904"
"20081002","20081002","20081002","20081002","20081002","20081002","20081002","20081002","20081002","20081002","20081002","20081002","20081002","20081002","20081002"
"20081106","20081106","20081106","20081106","20081106","20081106","20081106","20081106","20081106","20081106","20081106","20081106","20081106","20081106","20081106"
"20081204","20081204","20081204","20081204","20081204","20081204","20081204","20081204","20081204","20081204","20081204","20081204","20081204","20081204","20081204"
"20090205","20090205","20090205","20090205","20090205","20090205","20090205","20090205","20090205","20090205","20090205","20090205","20090205","20090205","20090205"
"20090305","20090305","20090305","20090305","20090305","20090305","20090305","20090305","20090305","20090305","20090305","20090305","20090305","20090305","20090305"
"20090402","20090402","20090402","20090402","20090402","20090402","20090402","20090402","20090402","20090402","20090402","20090402","20090402","20090402","20090402"
"20090507","20090507","20090507","20090507","20090507","20090507","20090507","20090507","20090507","20090507","20090507","20090507","20090507","20090507","20090507"
"20090604","20090604","20090604","20090604","20090604","20090604","20090604","20090604","20090604","20090604","20090604","20090604","20090604","20090604","20090604"
"20090702","20090702","20090702","20090702","20090702","20090702","20090702","20090702","20090702","20090702","20090702","20090702","20090702","20090702","20090702"
"20090806","20090806","20090806","20090806","20090806","20090806","20090806","20090806","20090806","20090806","20090806","20090806","20090806","20090806","20090806"
"20090903","20090903","20090903","20090903","20090903","20090903","20090903","20090903","20090903","20090903","20090903","20090903","20090903","20090903","20090903"
"20091001","20091001","20091001","20091001","20091001","20091001","20091001","20091001","20091001","20091001","20091001","20091001","20091001","20091001","20091001"
"20091105","20091105","20091105","20091105","20091105","20091105","20091105","20091105","20091105","20091105","20091105","20091105","20091105","20091105","20091105"
