"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"19990107","TOTALASSETS","534,145","28,225","204,153","17,455","29,071","46,907","35,823","49,529","17,004","7,737","15,701","25,178","57,363"
"19990204","TOTALASSETS","526,657","29,274","196,803","17,220","28,544","45,428","34,235","52,524","18,470","7,896","15,623","24,428","56,213"
"19990304","TOTALASSETS","535,372","29,619","200,321","17,784","29,538","41,886","33,877","55,160","18,716","8,520","16,173","24,882","58,896"
"19990401","TOTALASSETS","544,416","30,221","209,896","19,569","29,238","38,971","32,715","55,005","18,968","6,462","16,446","25,386","61,537"
"19990506","TOTALASSETS","551,031","30,159","212,398","21,462","29,014","33,947","31,777","61,300","19,575","4,697","18,456","26,141","62,105"
"19990603","TOTALASSETS","551,982","28,848","211,332","22,845","30,100","32,413","32,496","60,667","20,652","4,459","19,416","26,820","61,934"
"19990701","TOTALASSETS","560,670","27,791","223,034","24,904","29,671","32,205","32,017","59,806","20,299","4,948","19,141","26,084","60,771"
"19990805","TOTALASSETS","554,458","27,217","217,229","24,804","30,011","31,565","32,842","61,550","21,999","4,547","18,773","25,381","58,539"
"19990902","TOTALASSETS","564,047","27,655","225,877","22,941","29,147","33,901","36,552","65,879","20,339","4,727","18,264","18,523","60,242"
"19991007","TOTALASSETS","567,648","30,935","234,434","21,752","31,153","34,559","39,779","67,000","20,779","2,197","17,859","4,997","62,205"
"19991104","TOTALASSETS","581,633","33,012","234,720","22,049","32,605","37,450","41,009","68,051","21,309","2,318","18,358","5,929","64,823"
"19991202","TOTALASSETS","603,318","35,303","238,336","22,936","33,156","39,442","43,235","69,494","22,182","2,834","19,315","9,596","67,489"
"20000106","TOTALASSETS","640,599","36,531","257,473","24,144","33,368","41,159","45,927","70,244","22,092","3,941","19,527","15,611","70,583"
"20000203","TOTALASSETS","581,532","32,980","239,930","21,361","30,418","38,762","39,127","64,616","20,343","3,186","17,327","12,257","61,224"
"20000302","TOTALASSETS","585,255","34,373","239,817","21,507","32,222","36,185","40,188","65,330","20,609","3,194","17,785","12,897","61,148"
"20000406","TOTALASSETS","585,250","33,554","240,417","21,651","33,165","36,116","39,715","64,469","20,788","3,243","17,842","12,959","61,329"
"20000504","TOTALASSETS","600,477","34,296","246,630","22,673","34,871","38,111","40,250","66,054","20,885","3,279","18,174","12,547","62,707"
"20000601","TOTALASSETS","595,747","34,239","243,827","23,201","34,809","37,506","39,289","64,392","20,788","3,378","18,185","13,404","62,728"
"20000706","TOTALASSETS","586,044","33,392","242,769","23,076","33,513","36,504","38,869","62,358","20,544","3,150","17,988","12,854","61,027"
"20000803","TOTALASSETS","581,876","33,624","241,805","23,067","32,941","36,455","38,949","61,095","20,232","2,725","17,940","13,405","59,639"
"20000907","TOTALASSETS","591,879","34,029","245,316","23,046","33,479","37,668","41,269","62,108","20,958","3,015","18,072","12,750","60,167"
"20001005","TOTALASSETS","586,029","33,700","243,877","22,593","33,218","37,304","40,849","61,193","20,324","3,121","17,932","12,736","59,182"
"20001102","TOTALASSETS","596,610","33,952","250,815","23,192","33,572","38,100","40,533","62,722","20,641","3,189","17,958","12,564","59,371"
"20001207","TOTALASSETS","595,499","33,512","251,129","23,588","33,288","37,469","40,702","64,180","20,364","3,678","18,398","10,519","58,672"
"20010104","TOTALASSETS","608,623","34,940","252,495","24,719","33,756","40,133","41,682","65,267","20,695","3,945","18,388","10,996","61,608"
"20010201","TOTALASSETS","596,977","34,409","254,122","24,251","33,278","38,670","40,342","63,959","20,400","3,504","17,776","9,596","56,671"
"20010301","TOTALASSETS","601,963","34,141","252,856","24,173","32,771","41,908","40,127","65,165","20,250","5,182","17,811","10,539","57,038"
"20010405","TOTALASSETS","605,814","35,044","251,836","23,752","33,299","44,593","39,557","65,614","20,121","6,275","17,942","10,771","57,010"
"20010503","TOTALASSETS","618,017","36,321","256,872","24,039","33,517","47,428","39,377","66,663","20,251","7,233","17,932","11,009","57,375"
"20010607","TOTALASSETS","608,649","34,945","253,238","23,867","32,871","46,250","39,265","64,802","20,341","7,021","17,975","12,456","55,620"
"20010705","TOTALASSETS","618,315","34,799","254,336","23,933","33,479","47,702","40,728","66,929","20,849","7,807","18,052","13,419","56,283"
"20010802","TOTALASSETS","624,875","35,093","261,151","23,378","32,877","48,429","42,593","68,731","20,629","7,669","17,582","13,303","53,439"
"20010906","TOTALASSETS","638,162","36,224","261,815","24,007","33,357","52,291","43,910","70,164","20,999","7,614","18,318","13,915","55,548"
"20011004","TOTALASSETS","633,429","34,712","256,418","22,605","33,493","52,186","43,689","71,813","21,839","8,558","18,922","15,047","54,145"
"20011101","TOTALASSETS","650,638","35,012","268,621","22,656","34,107","51,005","44,232","73,293","21,975","11,171","18,232","15,206","55,128"
"20011206","TOTALASSETS","643,091","33,434","258,300","23,394","33,699","50,312","47,034","73,097","22,578","14,120","18,311","14,916","53,896"
"20020103","TOTALASSETS","663,557","34,367","271,972","23,217","33,701","52,240","48,882","73,181","22,486","15,399","18,370","15,167","54,577"
"20020207","TOTALASSETS","656,427","34,997","268,801","22,193","33,360","51,307","47,964","72,181","22,611","15,717","18,689","16,560","52,048"
"20020307","TOTALASSETS","665,521","34,077","270,604","22,287","33,497","54,013","47,809","72,871","22,152","15,748","19,113","20,827","52,523"
"20020404","TOTALASSETS","667,632","33,917","270,622","22,218","32,809","54,505","47,822","71,703","22,013","15,732","19,221","23,271","53,799"
"20020502","TOTALASSETS","678,380","34,765","278,354","22,345","33,522","53,700","47,233","72,885","21,508","15,737","19,718","23,695","54,918"
"20020606","TOTALASSETS","672,746","33,196","278,903","22,340","31,637","55,299","47,895","70,432","21,185","15,391","18,746","23,185","54,539"
