city1_2	flag
哈尔滨桂林	5835
哈尔滨杭州	5887
杭州哈尔滨	5887
延吉沈阳	5894
沈阳延吉	5894
烟台沈阳	5911
沈阳烟台	5911
北京绵阳	5921
绵阳北京	5921
兰州上海	5941
上海兰州	5941
呼和浩特包头	5942
包头呼和浩特	5942
三亚丹东	5976
丹东三亚	5976
贵阳西双版纳	6001
西双版纳贵阳	6001
南京福州	6020
福州南京	6020
天津重庆	6022
重庆天津	6022
北京南通	6040
南通北京	6040
武夷山郑州	6059
郑州武夷山	6059
南宁福州	6062
福州南宁	6062
桂林昆明	6073
昆明桂林	6073
太原包头	6087
包头太原	6087
天津长沙	6089
长沙天津	6089
运城郑州	6096
郑州运城	6096
锡林浩特赤峰	6100
赤峰锡林浩特	6100
阿尔山呼伦贝尔	6111
呼伦贝尔阿尔山	6111
天津邯郸	6123
邯郸天津	6123
太原长治	6127
长治太原	6127
郑州广州	6134
广州郑州	6134
西安长春	6144
长春西安	6144
运城大同	6147
大同运城	6147
太原成都	6148
成都太原	6148
乌鲁木齐重庆	6150
重庆乌鲁木齐	6150
通辽鄂尔多斯	6158
鄂尔多斯通辽	6158
宜昌广州	6166
广州宜昌	6166
天津合肥	6183
合肥天津	6183
锡林浩特二连浩特	6184
二连浩特锡林浩特	6184
乌兰浩特呼和浩特	6203
呼和浩特乌兰浩特	6203
青岛海口	6205
海口青岛	6205
昆明台州	6207
台州昆明	6207
通辽呼伦贝尔	6217
呼伦贝尔通辽	6217
张家界重庆	6238
重庆张家界	6238
烟台长春	6259
长春烟台	6259
温州常州	6263
常州温州	6263
唐山石家庄	6288
石家庄唐山	6288
武汉常州	6305
常州武汉	6305
天津南京	6306
南京天津	6306
济南南昌	6316
南昌济南	6316
温州大连	6345
大连温州	6345
厦门成都	6358
成都厦门	6358
昆明南昌	6369
南昌昆明	6369
南宁兴义	6373
兴义南宁	6373
武汉大连	6387
大连武汉	6387
太原福州	6417
福州太原	6417
烟台长沙	6418
长沙烟台	6418
张家口石家庄	6445
石家庄张家口	6445
沈阳合肥	6459
合肥沈阳	6459
拉萨昆明	6462
昆明拉萨	6462
徐州成都	6481
成都徐州	6481
太原海口	6494
海口太原	6494
上海哈尔滨	6499
哈尔滨上海	6499
深圳合肥	6512
合肥深圳	6512
天津海口	6522
海口天津	6522
兰州桂林	6536
桂林兰州	6536
天津常德	6549
常德天津	6549
珠海海口	6554
海口珠海	6554
深圳杭州	6556
杭州深圳	6556
上海泉州	6561
泉州上海	6561
上海淮安	6580
淮安上海	6580
广州包头	6586
包头广州	6586
常德广州	6588
广州常德	6588
运城广州	6610
广州运城	6610
延吉大连	6616
大连延吉	6616
银川大连	6620
大连银川	6620
怀化广州	6626
广州怀化	6626
广州安顺	6633
安顺广州	6633
西安张家界	6642
张家界西安	6642
通辽郑州	6654
郑州通辽	6654
天津长治	6666
长治天津	6666
银川鄂尔多斯	6687
鄂尔多斯银川	6687
西安安康	6691
安康西安	6691
北京包头	6705
包头北京	6705
乌鲁木齐合肥	6741
合肥乌鲁木齐	6741
天津哈尔滨	6744
哈尔滨天津	6744
张家界郑州	6748
郑州张家界	6748
珠海梧州	6750
梧州珠海	6750
青岛桂林	6758
桂林青岛	6758
鄂尔多斯成都	6772
成都鄂尔多斯	6772
珠海大连	6778
大连珠海	6778
乌鲁木齐杭州	6786
杭州乌鲁木齐	6786
武汉北京	6813
北京武汉	6813
徐州海口	6826
海口徐州	6826
济南沈阳	6831
沈阳济南	6831
桂林广州	6838
广州桂林	6838
北京广州	6841
广州北京	6841
天津西双版纳	6858
西双版纳天津	6858
济南西安	6869
西安济南	6869
宜昌海口	6875
海口宜昌	6875
武汉兴义	6884
兴义武汉	6884
深圳昆明	6893
昆明深圳	6893
佛山重庆	6904
重庆佛山	6904
黄山济南	6917
济南黄山	6917
武汉银川	6918
银川武汉	6918
上海拉萨	6929
拉萨上海	6929
石家庄昆明	6931
昆明石家庄	6931
海口包头	6933
包头海口	6933
北京鄂尔多斯	6941
鄂尔多斯北京	6941
上海洛阳	6944
洛阳上海	6944
乌鲁木齐银川	6946
银川乌鲁木齐	6946
天津常州	6950
常州天津	6950
西安哈尔滨	6957
哈尔滨西安	6957
徐州杭州	6960
杭州徐州	6960
银川包头	6962
包头银川	6962
厦门舟山	6971
舟山厦门	6971
银川杭州	6979
杭州银川	6979
上海泸州	6988
泸州上海	6988
深圳兰州	7016
兰州深圳	7016
北京重庆	7035
重庆北京	7035
通辽大连	7062
大连通辽	7062
天津鄂尔多斯	7067
鄂尔多斯天津	7067
成都郑州	7094
郑州成都	7094
揭阳潮汕宁波	7096
宁波揭阳潮汕	7096
青岛上海	7112
上海青岛	7112
厦门井冈山	7117
井冈山厦门	7117
秦皇岛上海	7123
上海秦皇岛	7123
敦煌郑州	7127
郑州敦煌	7127
珠海杭州	7142
杭州珠海	7142
常州重庆	7145
重庆常州	7145
三亚上海	7151
上海三亚	7151
厦门连城	7175
连城厦门	7175
赣州景德镇	7204
景德镇赣州	7204
合肥阜阳	7206
阜阳合肥	7206
迪庆广州	7218
广州迪庆	7218
青岛揭阳潮汕	7221
揭阳潮汕青岛	7221
厦门贵阳	7223
贵阳厦门	7223
珠海哈尔滨	7224
哈尔滨珠海	7224
桂林成都	7228
成都桂林	7228
深圳南宁	7235
南宁深圳	7235
石家庄南京	7238
南京石家庄	7238
温州临沂	7241
临沂温州	7241
运城福州	7248
福州运城	7248
西安贵阳	7255
贵阳西安	7255
北京丹东	7260
丹东北京	7260
沈阳上海	7276
上海沈阳	7276
桂林常州	7277
常州桂林	7277
丽江广州	7281
广州丽江	7281
南宁常州	7309
常州南宁	7309
济南临沂	7319
临沂济南	7319
杭州广州	7345
广州杭州	7345
济南石家庄	7355
石家庄济南	7355
珠海常州	7360
常州珠海	7360
榆林郑州	7370
郑州榆林	7370
西安长治	7371
长治西安	7371
武汉南京	7390
南京武汉	7390
杭州包头	7392
包头杭州	7392
南昌合肥	7401
合肥南昌	7401
威海大连	7404
大连威海	7404
贵阳郑州	7406
郑州贵阳	7406
湛江昆明	7414
昆明湛江	7414
南阳成都	7423
成都南阳	7423
青岛济宁	7429
济宁青岛	7429
北京张家界	7454
张家界北京	7454
敦煌成都	7455
成都敦煌	7455
台州广州	7459
广州台州	7459
武夷山福州	7460
福州武夷山	7460
运城杭州	7462
杭州运城	7462
深圳敦煌	7488
敦煌深圳	7488
青岛秦皇岛	7495
秦皇岛青岛	7495
西安长沙	7497
长沙西安	7497
西双版纳重庆	7498
重庆西双版纳	7498
深圳鄂尔多斯	7514
鄂尔多斯深圳	7514
西安南京	7516
南京西安	7516
东营郑州	7532
郑州东营	7532
敦煌大连	7541
大连敦煌	7541
桂林海口	7559
海口桂林	7559
温州舟山	7561
舟山温州	7561
武夷山上海	7579
上海武夷山	7579
丽江长沙	7583
长沙丽江	7583
武夷山连城	7596
连城武夷山	7596
深圳福州	7606
福州深圳	7606
深圳北海	7608
北海深圳	7608
南充成都	7612
成都南充	7612
威海济南	7633
济南威海	7633
宜昌南京	7642
南京宜昌	7642
西昌北京	7645
北京西昌	7645
西双版纳成都	7646
成都西双版纳	7646
西安常州	7648
常州西安	7648
福州长治	7653
长治福州	7653
徐州连云港	7658
连云港徐州	7658
深圳广元	7660
广元深圳	7660
天津南昌	7671
南昌天津	7671
厦门重庆	7675
重庆厦门	7675
洛阳广州	7684
广州洛阳	7684
烟台连云港	7690
连云港烟台	7690
盐城南通	7693
南通盐城	7693
兰州鄂尔多斯	7696
鄂尔多斯兰州	7696
桂林杭州	7701
杭州桂林	7701
杭州成都	7705
成都杭州	7705
温州乌鲁木齐	7710
乌鲁木齐温州	7710
淮安广州	7716
广州淮安	7716
丽江常州	7736
常州丽江	7736
南宁杭州	7742
杭州南宁	7742
烟台济南	7745
济南烟台	7745
洛阳海口	7756
海口洛阳	7756
常州成都	7772
成都常州	7772
北京连云港	7773
连云港北京	7773
厦门青岛	7776
青岛厦门	7776
北京临沂	7786
临沂北京	7786
锦州大连	7805
大连锦州	7805
沈阳赤峰	7811
赤峰沈阳	7811
昆明达州	7824
达州昆明	7824
烟台西安	7827
西安烟台	7827
宜昌西安	7843
西安宜昌	7843
运城贵阳	7850
贵阳运城	7850
银川呼和浩特	7851
呼和浩特银川	7851
桂林福州	7857
福州桂林	7857
丽江重庆	7875
重庆丽江	7875
太原贵阳	7878
贵阳太原	7878
天津洛阳	7880
洛阳天津	7880
齐齐哈尔广州	7882
广州齐齐哈尔	7882
兰州呼和浩特	7902
呼和浩特兰州	7902
珠海台州	7915
台州珠海	7915
南宁井冈山	7925
井冈山南宁	7925
宜昌济南	7945
济南宜昌	7945
丽江福州	7950
福州丽江	7950
泉州重庆	7963
重庆泉州	7963
青岛郑州	7970
郑州青岛	7970
青岛长春	7974
长春青岛	7974
西安呼和浩特	7978
呼和浩特西安	7978
天津绵阳	7982
绵阳天津	7982
桂林南昌	7989
南昌桂林	7989
泉州长沙	8017
长沙泉州	8017
武汉台州	8023
台州武汉	8023
淮安长沙	8033
长沙淮安	8033
义乌郑州	8041
郑州义乌	8041
潍坊重庆	8045
重庆潍坊	8045
上海大同	8051
大同上海	8051
太原绵阳	8068
绵阳太原	8068
哈尔滨海口	8072
海口哈尔滨	8072
无锡重庆	8077
重庆无锡	8077
武汉深圳	8086
深圳武汉	8086
黄山长沙	8090
长沙黄山	8090
武夷山重庆	8091
重庆武夷山	8091
揭阳潮汕郑州	8097
郑州揭阳潮汕	8097
宜昌重庆	8104
重庆宜昌	8104
无锡北京	8106
北京无锡	8106
唐山上海	8109
上海唐山	8109
大连包头	8115
包头大连	8115
青岛成都	8117
成都青岛	8117
武汉济宁	8131
济宁武汉	8131
徐州重庆	8144
重庆徐州	8144
珠海武汉	8153
武汉珠海	8153
泉州常州	8167
常州泉州	8167
天津广州	8179
广州天津	8179
上海鄂尔多斯	8183
鄂尔多斯上海	8183
上海大连	8188
大连上海	8188
北京牡丹江	8194
牡丹江北京	8194
巴彦淖尔北京	8203
北京巴彦淖尔	8203
济南海口	8207
海口济南	8207
赣州海口	8211
海口赣州	8211
通辽沈阳	8216
沈阳通辽	8216
运城上海	8228
上海运城	8228
温州广州	8232
广州温州	8232
济宁海口	8243
海口济宁	8243
宜宾昆明	8245
昆明宜宾	8245
湛江贵阳	8260
贵阳湛江	8260
运城沈阳	8264
沈阳运城	8264
揭阳潮汕长沙	8267
长沙揭阳潮汕	8267
连云港海口	8269
海口连云港	8269
深圳重庆	8272
重庆深圳	8272
宁波大连	8281
大连宁波	8281
兰州海口	8297
海口兰州	8297
天津通辽	8298
通辽天津	8298
黄山大连	8306
大连黄山	8306
西安济宁	8323
济宁西安	8323
赤峰包头	8343
包头赤峰	8343
赣州杭州	8348
杭州赣州	8348
运城深圳	8357
深圳运城	8357
上海邯郸	8366
邯郸上海	8366
沈阳郑州	8384
郑州沈阳	8384
深圳泸州	8387
泸州深圳	8387
上海呼和浩特	8393
呼和浩特上海	8393
淮安福州	8395
福州淮安	8395
西双版纳广州	8414
广州西双版纳	8414
武汉连云港	8419
连云港武汉	8419
昆明黔江	8440
黔江昆明	8440
青岛福州	8446
福州青岛	8446
运城武汉	8457
武汉运城	8457
西宁广州	8464
广州西宁	8464
昆明哈尔滨	8471
哈尔滨昆明	8471
