"","city1_2","flag","flight_num","plane_num","plane_no_num"
"460","昆明广州",1219,"CZ3419/20","319",2
"461","昆明广州",1219,"CZ3449/50","319",2
"462","广州昆明",1219,"CZ3477","319",1
"463","昆明广州",1219,"CZ3478","319",1
"464","广州昆明",1219,"CZ3481/2","319",2
"465","广州昆明",1219,"CZ3487/8","319",4
"466","昆明广州",1219,"CZ3489/90","319",2
"467","昆明广州",1219,"MU5731/2","733",2
"468","昆明广州",1219,"MU5735","733",1
"469","广州昆明",1219,"MU5736","733",1
"470","昆明广州",1219,"MU5737/8","763",2
"471","广州昆明",1219,"MU5740","733",1
"472","昆明广州",1219,"MU5741/2","733",6
"473","昆明广州",1219,"ZH9633/4","320",2
"474","昆明广州",1219,"ZH9633/4","737",2
"475","广州昆明",1219,"ZH9645","320",4
"476","昆明广州",1219,"ZH9646","320",2
"477","贵阳济南",1245,"CZ3791/2","73G",2
"478","济南贵阳",1245,"CZ6453/4","320",2
"479","济南贵阳",1245,"SC4919/20","CR2",4
"480","济南贵阳",1245,"SC4943/4","738",4
"481","济南贵阳",1245,"SC4963/4","733",2
"482","大连南京",1269,"CZ3759/6","321",4
"483","大连南京",1269,"CZ3759/60","319",2
"484","大连南京",1269,"CZ3759/60","321",4
"485","南京大连",1269,"CZ3985/6","320",2
"486","南京大连",1269,"CZ6537/8","319",8
"487","南京大连",1269,"HU7683/4","738",4
"488","南京大连",1269,"HU7727/8","737",2
"489","南京大连",1269,"MF8021/2","738",2
"490","南京大连",1269,"MU2771","320",4
"491","大连南京",1269,"MU2772","320",3
"492","南京大连",1269,"MU2791","320",4
"493","大连南京",1269,"MU2792","320",2
"494","南京大连",1269,"MU2933/4","320",2
"495","南京大连",1269,"ZH9225/6","320",2
"496","南京大连",1269,"ZH9351/2","738",2
"497","广州连云港",1301,"CZ3257","319",1
"498","连云港广州",1301,"CZ3258","319",1
"499","广州连云港",1301,"CZ3635","319",1
"500","大连南宁",1311,"CZ6391/2","319",6
"501","南宁大连",1311,"GS7583/4","E90",2
"502","大连南宁",1311,"HU7397","738",5
"503","南宁大连",1311,"HU7398","738",3
"504","南宁大连",1311,"ZH9529","733",1
"505","大连南宁",1311,"ZH9530","733",1
"506","泸州广州",1332,"CA4339","733",1
"507","广州泸州",1332,"CA4340","733",1
"508","泸州广州",1332,"CA4351/2","73G",2
"509","昆明海口",1353,"8L9971","73G",1
"510","海口昆明",1353,"8L9972","73G",1
"511","昆明海口",1353,"CZ3431/2","733",2
"512","海口昆明",1353,"HU7087","738",1
"513","昆明海口",1353,"HU7088","738",1
"514","昆明海口",1353,"MU5747/8","737",2
"515","重庆三亚",1366,"3U8715/6","319",2
"516","三亚重庆",1366,"3U8759/60","320",4
"517","重庆三亚",1366,"CA4387/8","73G",2
"518","重庆三亚",1366,"CZ6307/8","321",2
"519","三亚重庆",1366,"HU7631","738",2
"520","重庆三亚",1366,"HU7632","738",3
"521","重庆三亚",1366,"JD5185/6","319",2
"522","重庆三亚",1366,"OQ2331/2","320",2
"523","重庆三亚",1366,"PN6203/4","319",2
"524","长沙沈阳",1376,"BK2889/90","738",2
"525","长沙沈阳",1376,"CZ3130/29","320",2
"526","长沙沈阳",1376,"CZ3659/60","320",2
"527","沈阳长沙",1376,"CZ3984","320",2
"528","沈阳长沙",1376,"CZ6653/4","320",2
"529","深圳长春",1383,"CZ3677/8","320",2
"530","长春深圳",1383,"CZ6357/8","319",4
"531","深圳长春",1383,"CZ6487/8","320",4
"532","深圳长春",1383,"ZH9857","738",1
"533","长春深圳",1383,"ZH9858","738",1
"534","深圳长春",1383,"ZH9887/8","738",2
"535","济南合肥",1398,"SC4613/4","738",2
"536","济南合肥",1398,"SC4835/6","CR2",2
"537","济南合肥",1398,"SC4919/20","CR2",4
"538","济南合肥",1398,"SC4993/4","733",4
"539","南昌贵阳",1441,"MU2755","320",1
"540","贵阳南昌",1441,"MU2756","320",1
"541","兰州杭州",1444,"CZ6951/2","73G",2
"542","深圳常州",1446,"ZH9841","320",1
"543","常州深圳",1446,"ZH9842","320",2
"544","贵阳南京",1473,"8L9983","73G",2
"545","南京贵阳",1473,"8L9984","73G",2
"546","贵阳南京",1473,"CZ3655/6","73G",2
"547","南京贵阳",1473,"CZ6451/2","319",2
"548","贵阳南京",1473,"KY8011/2","73G",2
"549","南京贵阳",1473,"MU2755","320",1
"550","贵阳南京",1473,"MU2756","320",1
"551","南京贵阳",1473,"ZH9215/6","738",2
"552","南京海口",1512,"EU2726/5","319",2
"553","南京海口",1512,"HU7089/90","738",2
"554","南京海口",1512,"MU2869","320",1
"555","海口南京",1512,"MU2870","320",1
"556","南京海口",1512,"ZH9221/2","738",2
"557","温州长春",1530,"SC4983/4","737",2
"558","成都石家庄",1542,"3U8877/8","319",2
"559","石家庄成都",1542,"9C8985/6","320",2
"560","石家庄成都",1542,"MU5439/40","73G",2
"561","石家庄成都",1542,"NS3209/10","320",2
"562","三亚桂林",1586,"3U8899/900","320",2
"563","桂林三亚",1586,"CZ6591/2","738",2
"564","三亚桂林",1586,"CZ6721/2","319",2
"565","桂林三亚",1586,"CZ6859/60","319",2
"566","三亚桂林",1586,"JD5315/6","319",2
"567","三亚桂林",1586,"JD5501/2","319",2
"568","深圳大连",1588,"CZ3677/8","320",2
"569","大连深圳",1588,"CZ6325/6","319",2
"570","大连深圳",1588,"CZ6327/8","321",4
"571","深圳大连",1588,"HU7717","738",1
"572","大连深圳",1588,"HU7718","738",1
"573","深圳大连",1588,"ZH9829","320",1
"574","大连深圳",1588,"ZH9830","320",1
"575","深圳大连",1588,"ZH9887/8","738",2
"576","昆明兰州",1656,"8L9923","73G",2
"577","兰州昆明",1656,"8L9924","73G",2
"578","兰州昆明",1656,"MU2289/90","320",2
"579","长春厦门",1660,"CZ6545/6","319",2
"580","厦门长春",1660,"MF8049/50","738",2
